cell_id,Nyctiprogne leucopyga,Nyctiprogne leucopyga [leucopyga Group],Nyctiprogne leucopyga latifascia
835f29fffffffff,1.0,0.0,0.0
836641fffffffff,1.0,0.0,0.0
836675fffffffff,1.0,0.0,0.0
8366ddfffffffff,2.0,0.0,0.0
83674afffffffff,1.0,1.0,0.0
836753fffffffff,11.0,0.0,0.0
83675bfffffffff,1.0,0.0,0.0
838a56fffffffff,2.0,0.0,0.0
838a8cfffffffff,5.0,0.0,0.0
838ac4fffffffff,2.0,0.0,2.0
838adafffffffff,4.0,4.0,0.0
838af0fffffffff,13.0,0.0,9.0
838af1fffffffff,5.0,0.0,5.0
838af4fffffffff,2.0,0.0,2.0
838b0bfffffffff,4.0,0.0,0.0
838b56fffffffff,2.0,0.0,0.0
838b76fffffffff,2.0,0.0,0.0
838f48fffffffff,19.0,0.0,0.0
83a859fffffffff,4.0,0.0,0.0
83a85dfffffffff,4.0,0.0,0.0
