cell_id,Campylorhynchus zonatus,Campylorhynchus zonatus [zonatus Group],Campylorhynchus zonatus costaricensis/panamensis,Campylorhynchus zonatus brevirostris/curvirostris
82452ffffffffff,20.0,0.0,0.0,0.0
824997fffffffff,30.0,0.0,0.0,0.0
82499ffffffffff,18.0,0.0,0.0,0.0
82661ffffffffff,10.0,0.0,0.0,0.0
8266a7fffffffff,5.0,0.0,0.0,0.0
8266b7fffffffff,4.0,0.0,0.0,0.0
826d27fffffffff,12.0,0.0,0.0,0.0
826d2ffffffffff,10.0,0.0,0.0,0.0
826d37fffffffff,2.0,0.0,0.0,0.0
826d6ffffffffff,19.0,0.0,0.0,0.0
828f2ffffffffff,5.0,0.0,0.0,0.0
