cell_id,Picumnus exilis,Picumnus exilis undulatus,Picumnus exilis buffonii,Picumnus exilis pernambucensis,Picumnus exilis exilis
825f07fffffffff,39.0,0.0,0.0,0.0,0.0
825f0ffffffffff,1.0,0.0,0.0,0.0,0.0
825f17fffffffff,58.0,0.0,0.0,0.0,0.0
825f1ffffffffff,24.0,0.0,0.0,0.0,0.0
825f2ffffffffff,112.0,0.0,0.0,0.0,0.0
825f47fffffffff,36.0,0.0,0.0,0.0,0.0
825f57fffffffff,25.0,0.0,0.0,0.0,0.0
825f67fffffffff,2.0,0.0,0.0,0.0,0.0
825f6ffffffffff,45.0,0.0,0.0,0.0,0.0
825f77fffffffff,106.0,1.0,0.0,0.0,0.0
826647fffffffff,424.0,0.0,0.0,0.0,0.0
82664ffffffffff,1.0,0.0,0.0,0.0,0.0
82665ffffffffff,2.0,0.0,0.0,0.0,0.0
826667fffffffff,15.0,0.0,0.0,0.0,0.0
82666ffffffffff,11.0,0.0,0.0,0.0,0.0
828047fffffffff,42.0,0.0,26.0,0.0,0.0
82804ffffffffff,6.0,0.0,4.0,0.0,0.0
828057fffffffff,2.0,0.0,0.0,0.0,0.0
828067fffffffff,6.0,0.0,3.0,0.0,0.0
82806ffffffffff,4.0,0.0,0.0,0.0,0.0
828077fffffffff,5.0,0.0,2.0,0.0,0.0
828117fffffffff,28.0,0.0,0.0,0.0,7.0
828137fffffffff,220.0,0.0,0.0,0.0,111.0
82815ffffffffff,3.0,0.0,1.0,0.0,0.0
828187fffffffff,589.0,0.0,0.0,464.0,0.0
82819ffffffffff,35.0,0.0,0.0,31.0,0.0
8281a7fffffffff,25.0,0.0,0.0,0.0,0.0
8281affffffffff,7.0,0.0,0.0,7.0,0.0
828a8ffffffffff,6.0,0.0,4.0,0.0,0.0
828a9ffffffffff,2.0,0.0,0.0,0.0,0.0
828aaffffffffff,8.0,0.0,7.0,0.0,0.0
828ac7fffffffff,1.0,1.0,0.0,0.0,0.0
828adffffffffff,102.0,36.0,23.0,0.0,0.0
828af7fffffffff,222.0,0.0,67.0,0.0,0.0
82a597fffffffff,44.0,0.0,0.0,0.0,19.0
