cell_id,Melanodera xanthogramma,Melanodera xanthogramma barrosi,Melanodera xanthogramma xanthogramma
84b2c51ffffffff,1.0,1.0,0.0
84b2c53ffffffff,3.0,1.0,0.0
84b2c59ffffffff,3.0,3.0,0.0
84b2ca9ffffffff,38.0,0.0,0.0
84b2cebffffffff,1.0,0.0,0.0
84b2d93ffffffff,9.0,0.0,0.0
84ce817ffffffff,6.0,0.0,0.0
84ce819ffffffff,5.0,0.0,0.0
84ce833ffffffff,3.0,0.0,0.0
84ce839ffffffff,2.0,0.0,0.0
84ce855ffffffff,3.0,0.0,0.0
84ce8e5ffffffff,7.0,0.0,0.0
84ce8e7ffffffff,2.0,0.0,0.0
84ce999ffffffff,2.0,0.0,0.0
84ce9c3ffffffff,9.0,0.0,0.0
84ce9d3ffffffff,5.0,1.0,0.0
84cea05ffffffff,2.0,1.0,0.0
84cea3dffffffff,3.0,0.0,0.0
84ceaadffffffff,30.0,0.0,0.0
84cf127ffffffff,8.0,2.0,0.0
84cf88dffffffff,4.0,0.0,4.0
84cf8a3ffffffff,5.0,0.0,0.0
84cf8c1ffffffff,2.0,0.0,2.0
84cf8c7ffffffff,1.0,0.0,0.0
84cf8e9ffffffff,2.0,0.0,0.0
84df419ffffffff,1.0,0.0,0.0
84df41bffffffff,4.0,0.0,0.0
84df451ffffffff,14.0,0.0,4.0
84df455ffffffff,1.0,0.0,0.0
84df687ffffffff,1.0,0.0,0.0
84df691ffffffff,1.0,0.0,0.0
84df695ffffffff,1.0,0.0,1.0
84df6a7ffffffff,1.0,0.0,0.0
84df6b5ffffffff,3.0,0.0,0.0
