cell_id,Coturnicops noveboracensis,Coturnicops noveboracensis noveboracensis,Coturnicops noveboracensis goldmani
840e497ffffffff,12.0,0.0,0.0
840e4dbffffffff,24.0,0.0,0.0
840e8ddffffffff,1.0,0.0,0.0
840ec19ffffffff,103.0,0.0,0.0
840ec4dffffffff,1.0,0.0,0.0
840ec57ffffffff,3.0,0.0,0.0
840ecc9ffffffff,35.0,0.0,0.0
840ed95ffffffff,2.0,0.0,0.0
840ee27ffffffff,1.0,1.0,0.0
840ee87ffffffff,27.0,0.0,0.0
840eea7ffffffff,46.0,0.0,0.0
840eeabffffffff,2.0,0.0,0.0
840eeb5ffffffff,4.0,0.0,0.0
840eebdffffffff,99.0,0.0,0.0
840eee3ffffffff,1.0,0.0,0.0
84121e3ffffffff,6.0,0.0,0.0
8412511ffffffff,2.0,0.0,0.0
8412591ffffffff,2.0,0.0,0.0
8412597ffffffff,6.0,0.0,0.0
84125d3ffffffff,1.0,0.0,0.0
84125dbffffffff,2.0,0.0,0.0
84128e3ffffffff,4.0,0.0,0.0
8412c1bffffffff,6.0,0.0,0.0
8412cb5ffffffff,1.0,0.0,0.0
8412ec5ffffffff,10.0,0.0,0.0
8412ec9ffffffff,3.0,0.0,0.0
84260d9ffffffff,2.0,0.0,0.0
84260e9ffffffff,1.0,0.0,0.0
842620bffffffff,7.0,0.0,0.0
842621dffffffff,9.0,0.0,0.0
8426291ffffffff,1.0,0.0,0.0
84262b3ffffffff,2.0,0.0,0.0
84262b7ffffffff,4.0,0.0,0.0
8426337ffffffff,1.0,0.0,0.0
842634dffffffff,4.0,0.0,0.0
842640dffffffff,1.0,0.0,0.0
8426437ffffffff,3.0,0.0,0.0
8426461ffffffff,6.0,0.0,0.0
8426489ffffffff,12.0,0.0,0.0
842652bffffffff,11.0,0.0,0.0
842656dffffffff,2.0,0.0,0.0
84265dbffffffff,9.0,0.0,0.0
8426605ffffffff,2.0,0.0,0.0
842662bffffffff,2.0,0.0,0.0
8426641ffffffff,2.0,0.0,0.0
8426645ffffffff,4.0,0.0,0.0
842664dffffffff,3.0,0.0,0.0
8426659ffffffff,2.0,0.0,0.0
8426669ffffffff,1.0,0.0,0.0
84266a5ffffffff,12.0,0.0,0.0
84266d5ffffffff,21.0,0.0,0.0
8426717ffffffff,2.0,0.0,0.0
8426745ffffffff,1.0,0.0,0.0
8426747ffffffff,2.0,0.0,0.0
8426765ffffffff,2.0,0.0,0.0
84268a7ffffffff,85.0,2.0,0.0
8426d09ffffffff,2.0,0.0,0.0
8426e5bffffffff,13.0,0.0,0.0
8426eb9ffffffff,2.0,0.0,0.0
8427023ffffffff,3.0,0.0,0.0
84270b5ffffffff,1.0,0.0,0.0
84270e3ffffffff,1.0,0.0,0.0
84270e7ffffffff,5.0,0.0,0.0
842713bffffffff,2.0,0.0,0.0
8427183ffffffff,4.0,0.0,0.0
84271d9ffffffff,2.0,0.0,0.0
8427423ffffffff,5.0,0.0,0.0
842743dffffffff,8.0,0.0,0.0
