cell_id,Thalassarche melanophris,Thalassarche melanophris melanophris,Thalassarche melanophris impavida
838e44fffffffff,2.0,0.0,0.0
838e4cfffffffff,6.0,0.0,0.0
838e6afffffffff,1.0,0.0,0.0
83a726fffffffff,28.0,10.0,0.0
83a810fffffffff,2.0,0.0,0.0
83a814fffffffff,49.0,0.0,0.0
83a816fffffffff,4.0,0.0,0.0
83a834fffffffff,5.0,0.0,0.0
83a835fffffffff,44.0,0.0,0.0
83a8a0fffffffff,2.0,0.0,0.0
83a8a5fffffffff,33.0,0.0,0.0
83a900fffffffff,1.0,0.0,0.0
83a903fffffffff,1.0,0.0,0.0
83a904fffffffff,9.0,0.0,0.0
83a905fffffffff,9.0,0.0,0.0
83a918fffffffff,3.0,0.0,0.0
83a91bfffffffff,2.0,0.0,0.0
83a91efffffffff,1.0,0.0,0.0
83a921fffffffff,9.0,0.0,0.0
83a922fffffffff,1.0,0.0,0.0
83a923fffffffff,6.0,0.0,0.0
83a92efffffffff,6.0,0.0,0.0
83a98bfffffffff,19.0,0.0,0.0
83ac36fffffffff,1.0,1.0,0.0
83ad34fffffffff,172.0,68.0,0.0
83ad36fffffffff,74.0,28.0,0.0
83b200fffffffff,2.0,0.0,0.0
83b204fffffffff,1.0,0.0,0.0
83b218fffffffff,28.0,0.0,0.0
83b219fffffffff,127.0,0.0,0.0
83b21bfffffffff,8.0,0.0,0.0
83b21cfffffffff,2.0,0.0,0.0
83b21dfffffffff,14.0,0.0,0.0
83b222fffffffff,4.0,0.0,0.0
83b226fffffffff,21.0,0.0,0.0
83b230fffffffff,2.0,0.0,0.0
83b299fffffffff,16.0,0.0,0.0
83b2c0fffffffff,68.0,0.0,0.0
83b2c2fffffffff,18.0,0.0,0.0
83b2c3fffffffff,25.0,0.0,0.0
83b2c4fffffffff,1846.0,135.0,0.0
83b2c6fffffffff,7.0,3.0,0.0
83b2d4fffffffff,2.0,0.0,0.0
83b2d5fffffffff,2.0,0.0,0.0
83b2d8fffffffff,34.0,0.0,0.0
83b2dafffffffff,235.0,10.0,0.0
83b2dcfffffffff,76.0,0.0,0.0
83b2defffffffff,37.0,0.0,0.0
83b2e2fffffffff,37.0,0.0,0.0
83b2e6fffffffff,11.0,0.0,0.0
83b2f5fffffffff,2.0,0.0,0.0
83b303fffffffff,8.0,0.0,0.0
83b304fffffffff,35.0,0.0,0.0
83b306fffffffff,2.0,0.0,0.0
83b312fffffffff,1.0,0.0,0.0
83b319fffffffff,28.0,0.0,0.0
83b31dfffffffff,1.0,0.0,0.0
83b330fffffffff,2.0,0.0,0.0
