cell_id,Laniarius poensis,Laniarius poensis camerunensis,Laniarius poensis poensis
8358d1fffffffff,4.0,3.0,0.0
8358d3fffffffff,82.0,77.0,0.0
83828efffffffff,1.0,0.0,0.0
8382d0fffffffff,45.0,0.0,35.0
8382d1fffffffff,4.0,0.0,2.0
8382d2fffffffff,15.0,4.0,0.0
8382d3fffffffff,45.0,32.0,0.0
