cell_id,Pinarochroa sordida,Pinarochroa sordida sordida,Pinarochroa sordida ernesti,Pinarochroa sordida olimotiensis,Pinarochroa sordida hypospodia
845280dffffffff,34.0,0.0,0.0,0.0,0.0
8452831ffffffff,5.0,1.0,0.0,0.0,0.0
8452835ffffffff,1.0,0.0,0.0,0.0,0.0
8452863ffffffff,8.0,0.0,0.0,0.0,0.0
8452991ffffffff,8.0,6.0,0.0,0.0,0.0
8452997ffffffff,91.0,20.0,0.0,0.0,0.0
84529abffffffff,2.0,0.0,0.0,0.0,0.0
84529b1ffffffff,12.0,0.0,0.0,0.0,0.0
84529b3ffffffff,14.0,5.0,0.0,0.0,0.0
84529b5ffffffff,139.0,26.0,0.0,0.0,0.0
84529b7ffffffff,16.0,6.0,0.0,0.0,0.0
84529b9ffffffff,47.0,7.0,0.0,0.0,0.0
84529bbffffffff,27.0,13.0,0.0,0.0,0.0
84529bdffffffff,3.0,0.0,0.0,0.0,0.0
846a6b1ffffffff,1.0,0.0,0.0,0.0,0.0
847a40bffffffff,14.0,0.0,0.0,0.0,0.0
847a453ffffffff,149.0,0.0,7.0,0.0,0.0
847a455ffffffff,27.0,0.0,0.0,0.0,0.0
847a457ffffffff,25.0,0.0,0.0,0.0,0.0
847a48bffffffff,3.0,0.0,0.0,0.0,0.0
847a619ffffffff,19.0,0.0,0.0,0.0,4.0
847a653ffffffff,1.0,0.0,0.0,0.0,0.0
847a657ffffffff,21.0,0.0,0.0,0.0,17.0
847a6a5ffffffff,1.0,0.0,0.0,0.0,0.0
847a6c9ffffffff,2.0,0.0,0.0,0.0,0.0
847ac15ffffffff,4.0,2.0,0.0,0.0,0.0
847ac83ffffffff,2.0,0.0,0.0,0.0,0.0
847ac95ffffffff,2.0,0.0,0.0,0.0,0.0
847acb3ffffffff,3.0,0.0,0.0,0.0,0.0
847acb5ffffffff,41.0,8.0,0.0,0.0,0.0
847acc3ffffffff,6.0,0.0,0.0,0.0,0.0
847acc5ffffffff,355.0,145.0,0.0,0.0,0.0
847acc7ffffffff,5.0,5.0,0.0,0.0,0.0
847accdffffffff,14.0,2.0,0.0,0.0,0.0
847acd5ffffffff,6.0,2.0,0.0,0.0,0.0
847ace1ffffffff,2.0,0.0,0.0,0.0,0.0
847ace9ffffffff,4.0,1.0,0.0,0.0,0.0
847acedffffffff,6.0,0.0,0.0,0.0,0.0
847ad91ffffffff,5.0,0.0,0.0,0.0,0.0
847ad93ffffffff,49.0,18.0,0.0,0.0,0.0
847ad99ffffffff,1.0,0.0,0.0,0.0,0.0
847ae87ffffffff,2.0,0.0,0.0,0.0,0.0
8496925ffffffff,2.0,0.0,0.0,0.0,0.0
8496935ffffffff,17.0,0.0,0.0,0.0,0.0
