cell_id,Fringilla spodiogenys,Fringilla spodiogenys africana,Fringilla spodiogenys spodiogenys/harterti
82382ffffffffff,2.0,2.0,0.0
823837fffffffff,2.0,2.0,0.0
823867fffffffff,38.0,30.0,0.0
82386ffffffffff,1.0,1.0,0.0
823877fffffffff,59.0,53.0,1.0
