cell_id,Catamenia homochroa,Catamenia homochroa oreophila,Catamenia homochroa homochroa,Catamenia homochroa duncani
846622bffffffff,2.0,0.0,0.0,0.0
84662b1ffffffff,1.0,0.0,0.0,0.0
8466d31ffffffff,2.0,0.0,0.0,0.0
8466d33ffffffff,8.0,0.0,0.0,0.0
8466d37ffffffff,1.0,0.0,0.0,0.0
8466de1ffffffff,3.0,0.0,0.0,0.0
8466e09ffffffff,2.0,0.0,0.0,0.0
8466e55ffffffff,4.0,0.0,0.0,0.0
84675adffffffff,1.0,0.0,0.0,0.0
848e64dffffffff,1.0,0.0,0.0,0.0
848f0dbffffffff,1.0,0.0,0.0,0.0
848f4a5ffffffff,2.0,0.0,0.0,0.0
848f4a7ffffffff,2.0,0.0,0.0,0.0
848f769ffffffff,3.0,0.0,0.0,0.0
