cell_id,Leioptila annectens,Leioptila annectens [annectens Group],Leioptila annectens eximia
843c521ffffffff,3.0,0.0,0.0
843c5b3ffffffff,1.0,0.0,0.0
843c5c7ffffffff,1.0,0.0,0.0
843c5cbffffffff,4.0,0.0,0.0
843cc31ffffffff,3.0,0.0,0.0
843ce43ffffffff,1.0,0.0,0.0
843ce4dffffffff,14.0,0.0,0.0
843ce55ffffffff,1.0,0.0,0.0
843ce57ffffffff,2.0,0.0,0.0
84404ddffffffff,2.0,2.0,0.0
846482bffffffff,3.0,0.0,0.0
8464911ffffffff,6.0,1.0,0.0
