cell_id,Corypha hypermetra,Corypha hypermetra hypermetra,Corypha hypermetra gallarum
837a40fffffffff,108.0,0.0,0.0
837a41fffffffff,2.0,0.0,0.0
837a58fffffffff,3.0,0.0,0.0
837a60fffffffff,44.0,0.0,0.0
837a61fffffffff,4.0,0.0,0.0
837a64fffffffff,186.0,0.0,0.0
837a65fffffffff,18.0,0.0,0.0
837a66fffffffff,11.0,0.0,0.0
837acdfffffffff,1.0,0.0,0.0
837ad9fffffffff,53.0,0.0,0.0
837b4bfffffffff,1.0,0.0,0.0
839692fffffffff,7.0,0.0,0.0
839693fffffffff,2.0,0.0,0.0
