cell_id,Anisognathus igniventris,Anisognathus igniventris [lunulatus Group],Anisognathus igniventris igniventris
82660ffffffffff,1486.0,12.0,0.0
82661ffffffffff,64.0,2.0,0.0
8266c7fffffffff,299.0,0.0,0.0
8266d7fffffffff,3743.0,257.0,0.0
8266dffffffffff,769.0,86.0,0.0
8266e7fffffffff,11069.0,257.0,0.0
8266f7fffffffff,153.0,0.0,0.0
828b27fffffffff,31.0,0.0,0.0
828b2ffffffffff,237.0,0.0,0.0
828b67fffffffff,1335.0,0.0,104.0
828b6ffffffffff,669.0,0.0,68.0
828b77fffffffff,7.0,0.0,0.0
828e67fffffffff,245.0,0.0,0.0
828e6ffffffffff,116.0,0.0,6.0
828f2ffffffffff,366.0,16.0,0.0
828f47fffffffff,49.0,4.0,0.0
828f4ffffffffff,27.0,0.0,0.0
828f57fffffffff,513.0,3.0,0.0
828f5ffffffffff,342.0,34.0,0.0
828f77fffffffff,618.0,49.0,0.0
82b327fffffffff,230.0,0.0,0.0
