cell_id,Pteroglossus bitorquatus,Pteroglossus bitorquatus sturmii,Pteroglossus bitorquatus bitorquatus/reichenowi
84802b7ffffffff,6.0,0.0,0.0
8480443ffffffff,1.0,0.0,0.0
8480445ffffffff,18.0,0.0,0.0
8480469ffffffff,30.0,5.0,0.0
8480643ffffffff,4.0,0.0,0.0
8480655ffffffff,23.0,0.0,0.0
848065dffffffff,1.0,0.0,0.0
8480665ffffffff,3.0,0.0,0.0
848066bffffffff,6.0,0.0,0.0
8480713ffffffff,22.0,0.0,0.0
8480745ffffffff,2.0,0.0,0.0
8480755ffffffff,3.0,0.0,0.0
8480759ffffffff,1.0,0.0,0.0
8481485ffffffff,2.0,0.0,0.0
84814a1ffffffff,3.0,0.0,0.0
84814adffffffff,13.0,0.0,0.0
84814d1ffffffff,2.0,0.0,0.0
84814d5ffffffff,11.0,0.0,0.0
84814d9ffffffff,3.0,0.0,0.0
84814dbffffffff,3.0,0.0,0.0
84814e3ffffffff,2.0,0.0,0.0
84814e7ffffffff,9.0,0.0,0.0
8481583ffffffff,7.0,0.0,0.0
848159dffffffff,1.0,0.0,0.0
84815a7ffffffff,2.0,0.0,0.0
84815abffffffff,2.0,0.0,0.0
84815d3ffffffff,2.0,0.0,0.0
848a04bffffffff,2.0,2.0,0.0
848a059ffffffff,2.0,0.0,0.0
848a05dffffffff,10.0,1.0,0.0
848a069ffffffff,14.0,0.0,0.0
848a155ffffffff,6.0,0.0,0.0
848a157ffffffff,3.0,0.0,0.0
848a217ffffffff,2.0,0.0,0.0
848a233ffffffff,13.0,2.0,0.0
848a23bffffffff,1.0,1.0,0.0
848a259ffffffff,1.0,0.0,0.0
848a313ffffffff,4.0,0.0,0.0
848a317ffffffff,1.0,0.0,0.0
848a31dffffffff,1.0,0.0,0.0
848a337ffffffff,1.0,0.0,0.0
848a359ffffffff,2.0,0.0,0.0
848a809ffffffff,25.0,0.0,0.0
848a827ffffffff,4.0,0.0,0.0
848a85bffffffff,4.0,0.0,0.0
848a913ffffffff,1.0,0.0,0.0
848a925ffffffff,6.0,0.0,0.0
848a927ffffffff,21.0,0.0,0.0
848a929ffffffff,1.0,0.0,0.0
848a9c1ffffffff,5.0,0.0,0.0
848a9c5ffffffff,1.0,0.0,0.0
848a9c9ffffffff,1.0,0.0,0.0
848a9cdffffffff,21.0,0.0,0.0
848aa87ffffffff,1.0,0.0,0.0
848aab9ffffffff,5.0,0.0,0.0
848aabdffffffff,3.0,0.0,0.0
848b0b5ffffffff,1.0,0.0,0.0
848b115ffffffff,1.0,0.0,0.0
848b11dffffffff,1.0,0.0,0.0
848b1a1ffffffff,1.0,0.0,0.0
848b1a5ffffffff,1.0,0.0,0.0
848b1e1ffffffff,4.0,0.0,0.0
848b1edffffffff,1.0,0.0,0.0
848b315ffffffff,1.0,0.0,0.0
848b567ffffffff,2.0,0.0,0.0
848b821ffffffff,1.0,0.0,0.0
848b825ffffffff,1.0,0.0,0.0
848b829ffffffff,4.0,0.0,0.0
848b849ffffffff,82.0,3.0,0.0
848b881ffffffff,8.0,0.0,0.0
848b889ffffffff,3.0,0.0,0.0
848b88dffffffff,2.0,0.0,0.0
848b891ffffffff,1.0,0.0,0.0
848b8a5ffffffff,3.0,0.0,0.0
848b8d5ffffffff,1.0,0.0,0.0
848b8e5ffffffff,1.0,0.0,0.0
848b931ffffffff,1.0,0.0,0.0
848b98bffffffff,1.0,0.0,0.0
848b999ffffffff,33.0,1.0,0.0
848b99dffffffff,53.0,0.0,0.0
848b9d1ffffffff,11.0,0.0,0.0
848b9d5ffffffff,431.0,16.0,0.0
848b9d7ffffffff,2.0,0.0,0.0
848ba09ffffffff,4.0,0.0,0.0
848ba35ffffffff,1.0,0.0,0.0
848ba47ffffffff,4.0,0.0,0.0
848ba55ffffffff,11.0,0.0,0.0
84a8c9bffffffff,3.0,3.0,0.0
