cell_id,Cichlopsis leucogenys,Cichlopsis leucogenys chubbi,Cichlopsis leucogenys peruviana,Cichlopsis leucogenys gularis,Cichlopsis leucogenys leucogenys
835f00fffffffff,4.0,0.0,0.0,0.0,0.0
835f70fffffffff,3.0,0.0,0.0,0.0,0.0
835f71fffffffff,63.0,0.0,0.0,6.0,0.0
835f75fffffffff,3.0,0.0,0.0,0.0,0.0
8366d0fffffffff,336.0,0.0,0.0,0.0,0.0
8366d3fffffffff,22.0,0.0,0.0,0.0,0.0
838130fffffffff,11.0,0.0,0.0,0.0,0.0
838132fffffffff,1.0,0.0,0.0,0.0,0.0
838133fffffffff,18.0,0.0,0.0,0.0,0.0
838136fffffffff,203.0,0.0,0.0,0.0,26.0
8381adfffffffff,3.0,0.0,0.0,0.0,0.0
83a596fffffffff,1.0,0.0,0.0,0.0,0.0
83a891fffffffff,24.0,0.0,0.0,0.0,0.0
