cell_id,Vanga curvirostris,Vanga curvirostris curvirostris,Vanga curvirostris cetera
84a2049ffffffff,2.0,0.0,0.0
84a204dffffffff,1.0,0.0,0.0
84a213dffffffff,1.0,0.0,0.0
84a2143ffffffff,61.0,3.0,1.0
84a215dffffffff,1.0,0.0,0.0
84a2165ffffffff,1.0,0.0,0.0
84a2207ffffffff,1.0,0.0,0.0
84a2227ffffffff,44.0,3.0,0.0
84a2235ffffffff,13.0,4.0,0.0
84a231bffffffff,143.0,11.0,7.0
84a2353ffffffff,2.0,0.0,0.0
84a2a3bffffffff,2.0,0.0,0.0
84a2a49ffffffff,29.0,0.0,3.0
84a2a69ffffffff,1.0,0.0,0.0
84a2ae1ffffffff,2.0,0.0,0.0
84a2ae9ffffffff,10.0,0.0,0.0
84a2aedffffffff,115.0,2.0,0.0
84a3089ffffffff,1.0,0.0,0.0
84a308bffffffff,16.0,1.0,0.0
84a3091ffffffff,2.0,0.0,0.0
84a3093ffffffff,12.0,0.0,0.0
84a30e7ffffffff,2.0,0.0,0.0
84a318bffffffff,1.0,0.0,0.0
84a3199ffffffff,2.0,0.0,0.0
84a319dffffffff,125.0,12.0,0.0
84a3565ffffffff,1.0,0.0,0.0
84a3567ffffffff,22.0,0.0,0.0
84a3761ffffffff,8.0,1.0,1.0
84a3765ffffffff,10.0,4.0,0.0
84a38a5ffffffff,1.0,0.0,0.0
84a38b3ffffffff,12.0,2.0,0.0
84a38c1ffffffff,1.0,0.0,0.0
84a38cbffffffff,3.0,0.0,0.0
84a38ddffffffff,3.0,0.0,0.0
84a3993ffffffff,6.0,2.0,0.0
84a3997ffffffff,3.0,0.0,0.0
84a399bffffffff,129.0,2.0,2.0
84a39dbffffffff,2.0,0.0,0.0
84a3a95ffffffff,7.0,1.0,0.0
84a3ab7ffffffff,21.0,2.0,0.0
84a3abbffffffff,1.0,0.0,0.0
84a3ad7ffffffff,1.0,0.0,0.0
