cell_id,Dryobates villosus,Dryobates villosus [villosus Group],Dryobates villosus [harrisi Group],Dryobates villosus orius/icastus,Dryobates villosus jardinii/sanctorum,Dryobates villosus extimus
830c5afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c73fffffffff,15.0,4.0,0.0,0.0,0.0,0.0
830c74fffffffff,4.0,4.0,0.0,0.0,0.0,0.0
830e4bfffffffff,2.0,2.0,0.0,0.0,0.0,0.0
830ec5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830eeafffffffff,8.0,0.0,0.0,0.0,0.0,0.0
831230fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83124efffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831251fffffffff,21.0,21.0,0.0,0.0,0.0,0.0
831253fffffffff,4.0,4.0,0.0,0.0,0.0,0.0
831258fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83125dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312c2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312cafffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312cbfffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8312ccfffffffff,11.0,1.0,0.0,0.0,0.0,0.0
8312d8fffffffff,3.0,0.0,0.0,3.0,0.0,0.0
8312dbfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312ddfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8312defffffffff,8.0,0.0,0.0,3.0,0.0,0.0
8312ecfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831382fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831386fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
831aa2fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
831aa4fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
831aa6fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
831b99fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831b9efffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832608fffffffff,6.0,6.0,0.0,0.0,0.0,0.0
83260afffffffff,20.0,20.0,0.0,0.0,0.0,0.0
83260efffffffff,23.0,23.0,0.0,0.0,0.0,0.0
832611fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832612fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
832613fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832618fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
83261bfffffffff,2.0,2.0,0.0,0.0,0.0,0.0
832621fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832625fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
832629fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83262bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83262cfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
832640fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
832641fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
832646fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832648fffffffff,16.0,5.0,0.0,0.0,0.0,0.0
832649fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
83264afffffffff,11.0,11.0,0.0,0.0,0.0,0.0
83264bfffffffff,4.0,4.0,0.0,0.0,0.0,0.0
83264cfffffffff,25.0,20.0,0.0,0.0,0.0,0.0
83264dfffffffff,14.0,5.0,0.0,0.0,0.0,0.0
83264efffffffff,9.0,5.0,0.0,0.0,0.0,0.0
832653fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832656fffffffff,13.0,1.0,0.0,0.0,0.0,0.0
832659fffffffff,2.0,1.0,0.0,0.0,0.0,0.0
832662fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
832663fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832664fffffffff,53.0,4.0,0.0,0.0,0.0,0.0
832666fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
83266efffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832671fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832675fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832680fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
832681fffffffff,172.0,0.0,0.0,6.0,0.0,0.0
832684fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
832685fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
832688fffffffff,35.0,30.0,0.0,5.0,0.0,0.0
832689fffffffff,12.0,6.0,0.0,3.0,0.0,0.0
83268afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83268bfffffffff,3.0,3.0,0.0,0.0,0.0,0.0
83268cfffffffff,61.0,41.0,0.0,15.0,0.0,0.0
83268dfffffffff,26.0,4.0,0.0,11.0,0.0,0.0
83268efffffffff,8.0,0.0,0.0,7.0,0.0,0.0
832690fffffffff,9.0,0.0,0.0,4.0,0.0,0.0
832692fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
