cell_id,Anas fulvigula,Anas fulvigula fulvigula,Anas fulvigula maculosa
822607fffffffff,2.0,0.0,0.0
82260ffffffffff,33.0,0.0,0.0
822647fffffffff,64.0,0.0,0.0
82264ffffffffff,10.0,0.0,0.0
822657fffffffff,21.0,0.0,0.0
82265ffffffffff,20.0,0.0,0.0
822667fffffffff,5.0,0.0,0.0
82266ffffffffff,15.0,0.0,0.0
822677fffffffff,18.0,0.0,0.0
822687fffffffff,1.0,0.0,0.0
8226affffffffff,4.0,0.0,2.0
8226cffffffffff,138.0,0.0,0.0
8226dffffffffff,4.0,0.0,0.0
8226e7fffffffff,4.0,0.0,0.0
8226f7fffffffff,6.0,0.0,0.0
822757fffffffff,2.0,0.0,0.0
822a17fffffffff,60.0,0.0,0.0
822a87fffffffff,16.0,0.0,0.0
822aaffffffffff,87.0,0.0,0.0
822ab7fffffffff,23.0,0.0,0.0
822ad7fffffffff,2.0,0.0,0.0
822af7fffffffff,21.0,0.0,0.0
824417fffffffff,75.0,2.0,0.0
82441ffffffffff,829.0,58.0,0.0
824447fffffffff,166.0,0.0,1.0
82444ffffffffff,3.0,0.0,0.0
824457fffffffff,4.0,0.0,2.0
82445ffffffffff,11.0,0.0,0.0
82446ffffffffff,44.0,0.0,19.0
824477fffffffff,13.0,0.0,0.0
824487fffffffff,14.0,0.0,0.0
8244a7fffffffff,17.0,2.0,0.0
8244affffffffff,406.0,87.0,0.0
8244c7fffffffff,8.0,0.0,0.0
8244cffffffffff,4.0,0.0,0.0
8244d7fffffffff,166.0,0.0,0.0
8244dffffffffff,3.0,0.0,0.0
8244e7fffffffff,30.0,2.0,0.0
8244f7fffffffff,676.0,10.0,0.0
824887fffffffff,13.0,0.0,5.0
824897fffffffff,24.0,0.0,4.0
82489ffffffffff,62.0,0.0,0.0
8248a7fffffffff,20.0,0.0,0.0
8248b7fffffffff,116.0,0.0,16.0
82499ffffffffff,3.0,0.0,0.0
