cell_id,Saxicola maurus,Saxicola maurus hemprichii,Saxicola maurus [maurus Group],Saxicola maurus przewalskii
820a37fffffffff,5.0,0.0,0.0,0.0
820b97fffffffff,1.0,0.0,0.0,0.0
820bb7fffffffff,2.0,0.0,0.0,0.0
8210c7fffffffff,98.0,0.0,8.0,0.0
8210dffffffffff,44.0,0.0,0.0,0.0
8210effffffffff,6.0,0.0,4.0,0.0
821597fffffffff,10.0,0.0,0.0,0.0
8215b7fffffffff,9.0,0.0,0.0,0.0
82200ffffffffff,36.0,0.0,17.0,0.0
822017fffffffff,21.0,0.0,1.0,0.0
82201ffffffffff,54.0,0.0,11.0,0.0
82202ffffffffff,3.0,0.0,0.0,0.0
822037fffffffff,6.0,0.0,0.0,0.0
82204ffffffffff,69.0,0.0,13.0,0.0
822057fffffffff,1.0,0.0,0.0,0.0
82205ffffffffff,13.0,0.0,0.0,0.0
82206ffffffffff,11.0,0.0,9.0,0.0
82208ffffffffff,2.0,0.0,0.0,0.0
82209ffffffffff,82.0,0.0,0.0,0.0
8220a7fffffffff,21.0,0.0,0.0,0.0
8220affffffffff,1.0,0.0,0.0,0.0
8220b7fffffffff,9.0,0.0,1.0,0.0
8220e7fffffffff,127.0,0.0,61.0,0.0
8220effffffffff,6.0,0.0,0.0,0.0
8220f7fffffffff,11.0,0.0,0.0,0.0
822127fffffffff,30.0,0.0,0.0,0.0
82212ffffffffff,6.0,0.0,0.0,0.0
822157fffffffff,73.0,0.0,34.0,0.0
822177fffffffff,1.0,0.0,0.0,0.0
82218ffffffffff,1.0,0.0,0.0,0.0
82219ffffffffff,23.0,0.0,0.0,0.0
82240ffffffffff,1.0,0.0,0.0,0.0
822427fffffffff,26.0,0.0,0.0,0.0
82242ffffffffff,8.0,0.0,0.0,0.0
822447fffffffff,4.0,0.0,0.0,0.0
822457fffffffff,25.0,0.0,0.0,0.0
822467fffffffff,29.0,0.0,0.0,0.0
82246ffffffffff,4.0,0.0,0.0,0.0
822477fffffffff,4.0,0.0,0.0,0.0
82248ffffffffff,45.0,0.0,0.0,33.0
822497fffffffff,2.0,0.0,0.0,2.0
82249ffffffffff,2.0,0.0,0.0,2.0
8224affffffffff,2.0,0.0,0.0,2.0
8224d7fffffffff,2.0,0.0,0.0,0.0
822507fffffffff,1.0,0.0,0.0,0.0
822517fffffffff,74.0,0.0,0.0,0.0
82251ffffffffff,1.0,0.0,0.0,0.0
822557fffffffff,5.0,0.0,0.0,0.0
82255ffffffffff,19.0,0.0,0.0,0.0
8225a7fffffffff,4.0,0.0,0.0,0.0
8225b7fffffffff,25.0,0.0,0.0,0.0
822c07fffffffff,489.0,0.0,0.0,0.0
822c0ffffffffff,58.0,4.0,0.0,0.0
822c17fffffffff,40.0,0.0,0.0,0.0
822c1ffffffffff,42.0,0.0,0.0,0.0
822c27fffffffff,151.0,20.0,10.0,0.0
822c2ffffffffff,191.0,16.0,9.0,0.0
822c37fffffffff,29.0,0.0,0.0,0.0
822c47fffffffff,2.0,0.0,0.0,0.0
822c4ffffffffff,3.0,0.0,0.0,0.0
822c67fffffffff,2.0,0.0,0.0,0.0
822c77fffffffff,13.0,0.0,0.0,0.0
822c87fffffffff,27.0,0.0,0.0,0.0
822c8ffffffffff,12.0,0.0,0.0,0.0
822c97fffffffff,599.0,134.0,11.0,0.0
822c9ffffffffff,9.0,0.0,0.0,0.0
822ca7fffffffff,4.0,0.0,0.0,0.0
822caffffffffff,21.0,0.0,0.0,0.0
822cc7fffffffff,64.0,0.0,0.0,0.0
822ccffffffffff,27.0,0.0,0.0,0.0
822cd7fffffffff,33.0,0.0,0.0,0.0
822cdffffffffff,6.0,0.0,0.0,0.0
822ce7fffffffff,19.0,0.0,0.0,0.0
822cf7fffffffff,79.0,0.0,0.0,0.0
822d07fffffffff,5.0,0.0,0.0,0.0
822d17fffffffff,3.0,0.0,0.0,0.0
822d27fffffffff,4.0,0.0,0.0,0.0
822d37fffffffff,2.0,0.0,0.0,0.0
822d57fffffffff,3.0,0.0,0.0,0.0
822d5ffffffffff,2.0,0.0,0.0,0.0
822d67fffffffff,4.0,0.0,0.0,0.0
822d77fffffffff,8.0,0.0,0.0,0.0
822d97fffffffff,5.0,0.0,0.0,0.0
822da7fffffffff,59.0,2.0,0.0,0.0
822daffffffffff,37.0,0.0,0.0,0.0
