cell_id,Vireo huttoni,Vireo huttoni [huttoni Group],Vireo huttoni [stephensi Group]
82129ffffffffff,51.0,0.0,0.0
822807fffffffff,3019.0,0.0,0.0
822817fffffffff,1129.0,0.0,0.0
82281ffffffffff,2410.0,29.0,0.0
822837fffffffff,48910.0,2164.0,0.0
8228affffffffff,2.0,0.0,0.0
8228c7fffffffff,1296.0,0.0,0.0
8228cffffffffff,1.0,0.0,0.0
8228d7fffffffff,12514.0,0.0,0.0
8228dffffffffff,3522.0,0.0,0.0
8228f7fffffffff,6134.0,0.0,0.0
822917fffffffff,3222.0,0.0,0.0
82291ffffffffff,5482.0,2675.0,0.0
82298ffffffffff,313.0,0.0,0.0
8229a7fffffffff,21718.0,0.0,0.0
8229affffffffff,6201.0,252.0,0.0
8229b7fffffffff,639.0,0.0,0.0
824527fffffffff,26.0,0.0,0.0
82480ffffffffff,28.0,0.0,0.0
824817fffffffff,509.0,0.0,4.0
82481ffffffffff,81.0,0.0,0.0
82482ffffffffff,129.0,0.0,0.0
824837fffffffff,484.0,0.0,0.0
82484ffffffffff,24.0,0.0,0.0
82485ffffffffff,127.0,0.0,0.0
824887fffffffff,313.0,0.0,0.0
82488ffffffffff,232.0,0.0,0.0
82489ffffffffff,2609.0,0.0,0.0
8248a7fffffffff,971.0,0.0,0.0
8248affffffffff,1231.0,0.0,0.0
8248b7fffffffff,3.0,0.0,0.0
8248c7fffffffff,6683.0,0.0,1294.0
8248cffffffffff,283.0,0.0,41.0
8248e7fffffffff,540.0,0.0,15.0
8248effffffffff,26812.0,0.0,3967.0
8248f7fffffffff,902.0,0.0,0.0
824987fffffffff,864.0,0.0,50.0
82498ffffffffff,76.0,0.0,0.0
824997fffffffff,2826.0,0.0,277.0
82499ffffffffff,136.0,0.0,26.0
8249a7fffffffff,2.0,0.0,0.0
8249affffffffff,644.0,0.0,26.0
8249b7fffffffff,297.0,0.0,0.0
826d17fffffffff,68.0,0.0,14.0
826d27fffffffff,1303.0,0.0,192.0
826d2ffffffffff,1518.0,0.0,15.0
826d37fffffffff,2340.0,0.0,381.0
