cell_id,Sitta carolinensis,Sitta carolinensis carolinensis,Sitta carolinensis [lagunae Group],Sitta carolinensis aculeata/alexandrae
820ecffffffffff,35.0,0.0,0.0,0.0
8212a7fffffffff,1.0,0.0,0.0,0.0
8212affffffffff,3.0,0.0,0.0,0.0
8212cffffffffff,20.0,5.0,4.0,0.0
8212d7fffffffff,1.0,0.0,0.0,0.0
8212dffffffffff,40.0,0.0,3.0,0.0
8212effffffffff,6.0,0.0,2.0,0.0
8212f7fffffffff,3.0,0.0,0.0,0.0
821aa7fffffffff,2.0,0.0,0.0,0.0
822607fffffffff,3.0,2.0,0.0,0.0
82260ffffffffff,99.0,68.0,0.0,0.0
822617fffffffff,4.0,4.0,0.0,0.0
82261ffffffffff,15.0,15.0,0.0,0.0
822627fffffffff,2.0,2.0,0.0,0.0
82262ffffffffff,11.0,4.0,0.0,0.0
822647fffffffff,106.0,0.0,0.0,0.0
82264ffffffffff,243.0,148.0,0.0,0.0
822657fffffffff,118.0,4.0,0.0,0.0
82265ffffffffff,60.0,49.0,0.0,0.0
822667fffffffff,690.0,302.0,0.0,0.0
82266ffffffffff,8.0,1.0,0.0,0.0
822677fffffffff,16.0,1.0,0.0,0.0
822687fffffffff,268.0,11.0,20.0,0.0
82268ffffffffff,204.0,23.0,62.0,0.0
822697fffffffff,669.0,0.0,434.0,0.0
82269ffffffffff,29.0,0.0,4.0,0.0
8226a7fffffffff,2.0,2.0,0.0,0.0
8226affffffffff,109.0,43.0,47.0,0.0
8226c7fffffffff,9.0,4.0,0.0,0.0
8226cffffffffff,21.0,6.0,0.0,0.0
8226d7fffffffff,56.0,14.0,10.0,0.0
8226dffffffffff,22.0,3.0,0.0,0.0
8226e7fffffffff,10.0,0.0,0.0,0.0
8226effffffffff,57.0,44.0,0.0,0.0
8226f7fffffffff,38.0,20.0,0.0,0.0
822707fffffffff,2.0,0.0,0.0,0.0
82270ffffffffff,5.0,4.0,0.0,0.0
822717fffffffff,2.0,0.0,0.0,0.0
82271ffffffffff,2.0,0.0,0.0,0.0
822747fffffffff,62.0,1.0,0.0,0.0
82274ffffffffff,1679.0,149.0,0.0,0.0
822757fffffffff,5.0,0.0,0.0,0.0
82275ffffffffff,127.0,39.0,0.0,0.0
822767fffffffff,29.0,0.0,0.0,0.0
82276ffffffffff,49.0,3.0,0.0,0.0
822777fffffffff,22.0,0.0,0.0,0.0
822787fffffffff,9.0,7.0,2.0,0.0
82278ffffffffff,7.0,5.0,2.0,0.0
822797fffffffff,18.0,4.0,8.0,0.0
82279ffffffffff,15.0,2.0,11.0,0.0
8227a7fffffffff,4.0,0.0,0.0,0.0
8227affffffffff,9.0,4.0,0.0,0.0
822807fffffffff,338.0,0.0,0.0,107.0
822817fffffffff,179.0,0.0,44.0,92.0
82281ffffffffff,91.0,0.0,21.0,15.0
