cell_id,Colinus virginianus,Colinus virginianus [virginianus Group],Colinus virginianus graysoni/nigripectus,Colinus virginianus [pectoralis Group],Colinus virginianus [coyoleos Group]
820c57fffffffff,2.0,0.0,0.0,0.0,0.0
820e4ffffffffff,2.0,0.0,0.0,0.0,0.0
8212dffffffffff,4.0,0.0,0.0,0.0,0.0
82195ffffffffff,1.0,0.0,0.0,0.0,0.0
821fb7fffffffff,2.0,0.0,0.0,0.0,0.0
822607fffffffff,6.0,0.0,0.0,0.0,0.0
82260ffffffffff,56.0,2.0,0.0,0.0,0.0
822617fffffffff,5.0,0.0,0.0,0.0,0.0
82261ffffffffff,3.0,0.0,0.0,0.0,0.0
822627fffffffff,6.0,0.0,0.0,0.0,0.0
82262ffffffffff,8.0,0.0,0.0,0.0,0.0
822637fffffffff,1.0,0.0,0.0,0.0,0.0
822647fffffffff,117.0,0.0,0.0,0.0,0.0
82264ffffffffff,71.0,3.0,0.0,0.0,0.0
822657fffffffff,74.0,2.0,0.0,0.0,0.0
82265ffffffffff,23.0,4.0,0.0,0.0,0.0
822667fffffffff,160.0,0.0,0.0,0.0,0.0
82266ffffffffff,11.0,1.0,0.0,0.0,0.0
822677fffffffff,68.0,0.0,0.0,0.0,0.0
822687fffffffff,6.0,0.0,0.0,0.0,0.0
82268ffffffffff,101.0,0.0,0.0,0.0,0.0
822697fffffffff,6.0,0.0,0.0,0.0,0.0
82269ffffffffff,18.0,0.0,0.0,0.0,0.0
8226affffffffff,51.0,0.0,0.0,0.0,0.0
8226c7fffffffff,2.0,0.0,0.0,0.0,0.0
8226cffffffffff,76.0,0.0,0.0,0.0,0.0
8226d7fffffffff,23.0,0.0,0.0,0.0,0.0
8226dffffffffff,27.0,0.0,0.0,0.0,0.0
8226e7fffffffff,26.0,2.0,0.0,0.0,0.0
8226effffffffff,55.0,0.0,0.0,0.0,0.0
8226f7fffffffff,16.0,0.0,0.0,0.0,0.0
822747fffffffff,80.0,1.0,0.0,0.0,0.0
82274ffffffffff,160.0,3.0,0.0,0.0,0.0
822757fffffffff,3.0,0.0,0.0,0.0,0.0
82275ffffffffff,189.0,0.0,0.0,0.0,0.0
82276ffffffffff,6.0,0.0,0.0,0.0,0.0
82278ffffffffff,1.0,0.0,0.0,0.0,0.0
822797fffffffff,6.0,0.0,0.0,0.0,0.0
822837fffffffff,3.0,0.0,0.0,0.0,0.0
822887fffffffff,5.0,1.0,0.0,0.0,0.0
82288ffffffffff,4.0,0.0,0.0,0.0,0.0
822897fffffffff,4.0,0.0,0.0,0.0,0.0
82289ffffffffff,4.0,0.0,0.0,0.0,0.0
8228affffffffff,4.0,0.0,0.0,0.0,0.0
8228b7fffffffff,10.0,0.0,0.0,0.0,0.0
8228d7fffffffff,110.0,0.0,0.0,0.0,0.0
8228f7fffffffff,13.0,1.0,0.0,0.0,0.0
822917fffffffff,2.0,0.0,0.0,0.0,0.0
822997fffffffff,5.0,0.0,0.0,0.0,0.0
8229a7fffffffff,4.0,2.0,0.0,0.0,0.0
822a07fffffffff,4.0,0.0,0.0,0.0,0.0
822a17fffffffff,407.0,8.0,0.0,0.0,0.0
822a37fffffffff,380.0,6.0,0.0,0.0,0.0
822a87fffffffff,57.0,1.0,0.0,0.0,0.0
822a8ffffffffff,38.0,13.0,0.0,0.0,0.0
822a97fffffffff,48.0,0.0,0.0,0.0,0.0
822a9ffffffffff,4.0,0.0,0.0,0.0,0.0
822aa7fffffffff,85.0,2.0,0.0,0.0,0.0
822aaffffffffff,644.0,22.0,0.0,0.0,0.0
822ab7fffffffff,257.0,6.0,0.0,0.0,0.0
822ad7fffffffff,4.0,0.0,0.0,0.0,0.0
822af7fffffffff,81.0,7.0,0.0,0.0,0.0
822b0ffffffffff,2.0,0.0,0.0,0.0,0.0
822b17fffffffff,2.0,0.0,0.0,0.0,0.0
822b1ffffffffff,4.0,0.0,0.0,0.0,0.0
822b87fffffffff,14.0,0.0,0.0,0.0,0.0
