cell_id,Amaurospiza concolor,Amaurospiza concolor relicta,Amaurospiza concolor concolor
844505bffffffff,3.0,0.0,0.0
84452cbffffffff,2.0,0.0,0.0
84452e5ffffffff,95.0,0.0,0.0
84452e7ffffffff,2.0,0.0,0.0
844986dffffffff,1.0,0.0,0.0
8449b15ffffffff,5.0,5.0,0.0
8449b19ffffffff,1.0,1.0,0.0
8449b33ffffffff,7.0,5.0,0.0
8449b3bffffffff,12.0,5.0,0.0
8466a05ffffffff,2.0,0.0,0.0
8466a0bffffffff,40.0,0.0,0.0
8466a2dffffffff,2.0,0.0,0.0
8466a31ffffffff,1.0,0.0,0.0
8466a57ffffffff,7.0,0.0,4.0
8466a5bffffffff,1.0,0.0,0.0
8466b41ffffffff,45.0,0.0,0.0
8466b45ffffffff,10.0,0.0,0.0
8466b47ffffffff,3.0,0.0,0.0
8466b4dffffffff,15.0,0.0,0.0
8466b51ffffffff,28.0,0.0,5.0
8466b53ffffffff,5.0,0.0,3.0
8466b5bffffffff,4.0,0.0,0.0
846d231ffffffff,36.0,0.0,2.0
846d239ffffffff,41.0,0.0,11.0
846d23dffffffff,33.0,0.0,10.0
846d2a9ffffffff,9.0,0.0,3.0
846d2b9ffffffff,29.0,0.0,0.0
846d2c1ffffffff,5.0,0.0,0.0
846d2c9ffffffff,27.0,0.0,6.0
846d2cbffffffff,6.0,0.0,0.0
846d691ffffffff,12.0,0.0,0.0
846d693ffffffff,13.0,0.0,0.0
846d69bffffffff,11.0,0.0,0.0
846d745ffffffff,20.0,0.0,0.0
