cell_id,Rhipidura semicollaris,Rhipidura semicollaris [semicollaris Group],Rhipidura semicollaris elegantula,Rhipidura semicollaris reichenowi,Rhipidura semicollaris hamadryas,Rhipidura semicollaris squamata/henrici
84739a1ffffffff,67.0,0.0,0.0,0.0,0.0,0.0
84739a7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84739a9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84739abffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8494159ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
84942c1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84942d3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84956c7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
