cell_id,Xiphocolaptes promeropirhynchus,Xiphocolaptes promeropirhynchus [emigrans Group],Xiphocolaptes promeropirhynchus [promeropirhynchus Group],Xiphocolaptes promeropirhynchus [orenocensis Group],Xiphocolaptes promeropirhynchus carajaensis
834522fffffffff,1.0,0.0,0.0,0.0,0.0
834525fffffffff,45.0,3.0,0.0,0.0,0.0
83452afffffffff,3.0,3.0,0.0,0.0,0.0
83452efffffffff,61.0,5.0,0.0,0.0,0.0
83499cfffffffff,2.0,0.0,0.0,0.0,0.0
83661bfffffffff,2.0,0.0,2.0,0.0,0.0
836622fffffffff,3.0,0.0,0.0,0.0,0.0
836629fffffffff,1.0,0.0,0.0,0.0,0.0
8366a0fffffffff,8.0,0.0,0.0,0.0,0.0
8366a5fffffffff,1.0,0.0,0.0,0.0,0.0
8366c5fffffffff,3.0,0.0,0.0,3.0,0.0
8366d1fffffffff,3.0,0.0,0.0,3.0,0.0
8366d3fffffffff,5.0,0.0,0.0,0.0,0.0
8366defffffffff,3.0,0.0,0.0,3.0,0.0
8366e0fffffffff,3.0,0.0,3.0,0.0,0.0
8366e5fffffffff,2.0,0.0,0.0,0.0,0.0
8366e6fffffffff,2.0,0.0,0.0,0.0,0.0
836759fffffffff,2.0,0.0,0.0,0.0,0.0
836796fffffffff,2.0,0.0,0.0,0.0,0.0
836d23fffffffff,2.0,0.0,0.0,0.0,0.0
836d29fffffffff,2.0,0.0,0.0,0.0,0.0
836d2dfffffffff,20.0,3.0,0.0,0.0,0.0
836d2efffffffff,3.0,0.0,0.0,0.0,0.0
836d32fffffffff,7.0,2.0,0.0,0.0,0.0
836d33fffffffff,6.0,0.0,0.0,0.0,0.0
836d36fffffffff,2.0,0.0,0.0,0.0,0.0
836d68fffffffff,2.0,0.0,0.0,0.0,0.0
836d69fffffffff,15.0,0.0,0.0,0.0,0.0
838b9dfffffffff,1.0,0.0,0.0,1.0,0.0
838e65fffffffff,4.0,0.0,4.0,0.0,0.0
838f0dfffffffff,2.0,0.0,0.0,0.0,0.0
838f43fffffffff,1.0,0.0,1.0,0.0,0.0
