cell_id,Megascops guatemalae,Megascops guatemalae [guatemalae Group],Megascops guatemalae vermiculatus
82450ffffffffff,7.0,0.0,0.0
824527fffffffff,26.0,14.0,0.0
82452ffffffffff,67.0,9.0,0.0
824997fffffffff,2.0,1.0,0.0
82499ffffffffff,1.0,0.0,0.0
8249b7fffffffff,5.0,0.0,0.0
826797fffffffff,5.0,0.0,0.0
82679ffffffffff,8.0,0.0,0.0
826d17fffffffff,3.0,0.0,0.0
826d27fffffffff,2.0,2.0,0.0
826d2ffffffffff,23.0,11.0,0.0
826d37fffffffff,3.0,2.0,0.0
826d67fffffffff,1.0,0.0,0.0
826d6ffffffffff,57.0,1.0,10.0
