cell_id,Melanerpes formicivorus,Melanerpes formicivorus [formicivorus Group],Melanerpes formicivorus angustifrons
8312d3fffffffff,2.0,0.0,0.0
8312d6fffffffff,2.0,0.0,0.0
83261cfffffffff,2.0,0.0,0.0
832681fffffffff,2.0,0.0,0.0
832685fffffffff,7.0,0.0,0.0
832688fffffffff,89.0,0.0,0.0
83268afffffffff,2.0,0.0,0.0
83268bfffffffff,2.0,0.0,0.0
83268cfffffffff,52.0,5.0,0.0
832696fffffffff,96.0,2.0,0.0
832699fffffffff,110.0,2.0,0.0
83269afffffffff,14.0,0.0,0.0
8326b6fffffffff,2.0,0.0,0.0
8326c3fffffffff,1.0,0.0,0.0
8326d8fffffffff,3.0,0.0,0.0
8326dcfffffffff,2.0,0.0,0.0
832756fffffffff,38.0,2.0,0.0
8327adfffffffff,2.0,0.0,0.0
832802fffffffff,5.0,2.0,0.0
832806fffffffff,1.0,0.0,0.0
832810fffffffff,3.0,0.0,0.0
832813fffffffff,8.0,0.0,0.0
832814fffffffff,3.0,0.0,0.0
832815fffffffff,6.0,0.0,0.0
832818fffffffff,16.0,0.0,0.0
83281cfffffffff,4.0,0.0,0.0
83281efffffffff,282.0,3.0,0.0
832830fffffffff,326.0,19.0,0.0
832831fffffffff,6.0,2.0,0.0
832832fffffffff,14.0,0.0,0.0
832833fffffffff,4.0,0.0,0.0
832834fffffffff,69.0,7.0,0.0
832835fffffffff,32.0,0.0,0.0
832836fffffffff,3098.0,5.0,0.0
832883fffffffff,9.0,0.0,0.0
83288cfffffffff,1.0,1.0,0.0
83288dfffffffff,2.0,0.0,0.0
8328a9fffffffff,15.0,0.0,0.0
8328aefffffffff,2.0,0.0,0.0
8328d0fffffffff,27.0,0.0,0.0
8328d1fffffffff,21.0,0.0,0.0
8328d3fffffffff,7.0,2.0,0.0
8328d5fffffffff,99.0,0.0,0.0
8328d6fffffffff,30.0,0.0,0.0
8328defffffffff,32.0,0.0,0.0
8328f0fffffffff,158.0,0.0,0.0
8328f1fffffffff,4.0,0.0,0.0
8328f2fffffffff,69.0,0.0,0.0
