cell_id,Cyclopsitta diophthalma,Cyclopsitta diophthalma [diophthalma Group],Cyclopsitta diophthalma coxeni
82728ffffffffff,5.0,0.0,0.0
8272a7fffffffff,8.0,0.0,0.0
8272d7fffffffff,5.0,0.0,0.0
8272dffffffffff,105.0,0.0,0.0
8272f7fffffffff,72.0,0.0,0.0
82739ffffffffff,115.0,0.0,0.0
829c07fffffffff,457.0,59.0,0.0
829c0ffffffffff,2.0,0.0,0.0
829c1ffffffffff,362.0,13.0,0.0
829c27fffffffff,3071.0,297.0,0.0
829c8ffffffffff,2.0,0.0,0.0
829c9ffffffffff,22.0,0.0,0.0
829cb7fffffffff,9.0,0.0,0.0
829cd7fffffffff,219.0,21.0,0.0
829cf7fffffffff,1.0,0.0,0.0
829d97fffffffff,1.0,0.0,0.0
