cell_id,Strix virgata,Strix virgata [virgata Group],Strix virgata superciliaris/macconnelli,Strix virgata borelliana
834424fffffffff,1.0,0.0,0.0,0.0
834501fffffffff,48.0,0.0,0.0,0.0
834505fffffffff,13.0,0.0,0.0,0.0
834508fffffffff,168.0,0.0,0.0,0.0
83450afffffffff,72.0,2.0,0.0,0.0
83450bfffffffff,58.0,0.0,0.0,0.0
83450cfffffffff,42.0,0.0,0.0,0.0
83450dfffffffff,4.0,0.0,0.0,0.0
83450efffffffff,86.0,2.0,0.0,0.0
834520fffffffff,120.0,11.0,0.0,0.0
834521fffffffff,398.0,0.0,0.0,0.0
834522fffffffff,279.0,0.0,0.0,0.0
834523fffffffff,127.0,0.0,0.0,0.0
834524fffffffff,72.0,0.0,0.0,0.0
834525fffffffff,30.0,9.0,0.0,0.0
834526fffffffff,238.0,0.0,0.0,0.0
834528fffffffff,202.0,15.0,0.0,0.0
83452afffffffff,555.0,0.0,0.0,0.0
83452bfffffffff,124.0,23.0,0.0,0.0
83452cfffffffff,339.0,30.0,0.0,0.0
83452dfffffffff,80.0,17.0,0.0,0.0
83452efffffffff,1724.0,35.0,0.0,0.0
834530fffffffff,7.0,0.0,0.0,0.0
834531fffffffff,10.0,0.0,0.0,0.0
834532fffffffff,8.0,0.0,0.0,0.0
834534fffffffff,21.0,0.0,0.0,0.0
834535fffffffff,74.0,0.0,0.0,0.0
834536fffffffff,31.0,0.0,0.0,0.0
834564fffffffff,18.0,0.0,0.0,0.0
834572fffffffff,8.0,0.0,0.0,0.0
834802fffffffff,12.0,0.0,0.0,0.0
834803fffffffff,3.0,0.0,0.0,0.0
834806fffffffff,17.0,0.0,0.0,0.0
83480afffffffff,84.0,0.0,0.0,0.0
83480efffffffff,1.0,0.0,0.0,0.0
834815fffffffff,6.0,0.0,0.0,0.0
83481dfffffffff,4.0,0.0,0.0,0.0
834832fffffffff,2.0,0.0,0.0,0.0
834833fffffffff,102.0,0.0,0.0,0.0
834836fffffffff,714.0,2.0,0.0,0.0
8348a2fffffffff,13.0,0.0,0.0,0.0
8348b4fffffffff,1.0,0.0,0.0,0.0
8348b5fffffffff,16.0,0.0,0.0,0.0
8348e4fffffffff,2.0,0.0,0.0,0.0
8348e5fffffffff,2.0,0.0,0.0,0.0
834980fffffffff,2.0,0.0,0.0,0.0
834986fffffffff,70.0,0.0,0.0,0.0
834990fffffffff,19.0,0.0,0.0,0.0
834991fffffffff,4.0,0.0,0.0,0.0
834992fffffffff,2.0,0.0,0.0,0.0
834993fffffffff,2.0,2.0,0.0,0.0
834996fffffffff,330.0,37.0,0.0,0.0
834998fffffffff,132.0,0.0,0.0,0.0
83499bfffffffff,4.0,0.0,0.0,0.0
83499cfffffffff,39.0,0.0,0.0,0.0
83499dfffffffff,4.0,0.0,0.0,0.0
83499efffffffff,5.0,0.0,0.0,0.0
8349a2fffffffff,6.0,0.0,0.0,0.0
8349a8fffffffff,138.0,0.0,0.0,0.0
8349a9fffffffff,316.0,29.0,0.0,0.0
8349aafffffffff,26.0,0.0,0.0,0.0
8349abfffffffff,22.0,0.0,0.0,0.0
8349adfffffffff,13.0,0.0,0.0,0.0
8349b0fffffffff,4.0,0.0,0.0,0.0
8349b1fffffffff,24.0,0.0,0.0,0.0
8349b3fffffffff,53.0,0.0,0.0,0.0
8349b5fffffffff,49.0,6.0,0.0,0.0
8349b6fffffffff,2.0,0.0,0.0,0.0
835f03fffffffff,8.0,0.0,0.0,0.0
835f10fffffffff,2.0,0.0,0.0,0.0
835f2bfffffffff,18.0,0.0,0.0,0.0
835f48fffffffff,3.0,0.0,0.0,0.0
835f58fffffffff,6.0,0.0,0.0,0.0
835f71fffffffff,1.0,0.0,0.0,0.0
836608fffffffff,127.0,0.0,0.0,0.0
83660afffffffff,101.0,0.0,0.0,0.0
83660bfffffffff,1.0,0.0,0.0,0.0
83660dfffffffff,8.0,0.0,0.0,0.0
83660efffffffff,3.0,0.0,0.0,0.0
836610fffffffff,328.0,20.0,0.0,0.0
836611fffffffff,19.0,0.0,0.0,0.0
836612fffffffff,3.0,0.0,0.0,0.0
836613fffffffff,84.0,2.0,0.0,0.0
836615fffffffff,1.0,0.0,0.0,0.0
836616fffffffff,91.0,7.0,0.0,0.0
836618fffffffff,13.0,0.0,0.0,0.0
836619fffffffff,102.0,2.0,0.0,0.0
83661afffffffff,23.0,0.0,0.0,0.0
83661bfffffffff,144.0,0.0,0.0,0.0
83661cfffffffff,34.0,0.0,0.0,0.0
83661dfffffffff,161.0,5.0,0.0,0.0
83661efffffffff,8.0,0.0,0.0,0.0
836620fffffffff,324.0,34.0,0.0,0.0
836621fffffffff,14.0,0.0,0.0,0.0
836622fffffffff,11.0,0.0,0.0,0.0
836623fffffffff,2.0,0.0,0.0,0.0
836629fffffffff,3.0,0.0,0.0,0.0
83662dfffffffff,2.0,0.0,0.0,0.0
83662efffffffff,21.0,0.0,0.0,0.0
836676fffffffff,4.0,0.0,0.0,0.0
8366a0fffffffff,365.0,13.0,0.0,0.0
8366a1fffffffff,3.0,0.0,0.0,0.0
8366a2fffffffff,3.0,0.0,0.0,0.0
8366a3fffffffff,14.0,0.0,0.0,0.0
8366a5fffffffff,461.0,49.0,0.0,0.0
8366a6fffffffff,122.0,9.0,0.0,0.0
8366b0fffffffff,109.0,0.0,0.0,0.0
8366b1fffffffff,4.0,0.0,0.0,0.0
8366b4fffffffff,977.0,0.0,0.0,0.0
8366b5fffffffff,419.0,10.0,0.0,0.0
8366b6fffffffff,2.0,0.0,0.0,0.0
8366c0fffffffff,6.0,0.0,0.0,0.0
8366c2fffffffff,9.0,0.0,0.0,0.0
8366c4fffffffff,64.0,0.0,0.0,0.0
8366c6fffffffff,39.0,0.0,0.0,0.0
8366cefffffffff,3.0,0.0,0.0,0.0
8366d0fffffffff,100.0,0.0,0.0,0.0
8366d1fffffffff,22.0,0.0,0.0,0.0
8366d2fffffffff,18.0,0.0,0.0,0.0
8366d3fffffffff,388.0,25.0,0.0,0.0
8366d5fffffffff,9.0,0.0,0.0,0.0
8366dafffffffff,5.0,0.0,0.0,0.0
8366dcfffffffff,22.0,1.0,0.0,0.0
8366ddfffffffff,8.0,0.0,0.0,0.0
8366defffffffff,57.0,0.0,0.0,0.0
8366e0fffffffff,56.0,0.0,0.0,0.0
8366e2fffffffff,4.0,0.0,0.0,0.0
8366e3fffffffff,7.0,0.0,0.0,0.0
8366e4fffffffff,64.0,0.0,0.0,0.0
8366e5fffffffff,2.0,0.0,0.0,0.0
8366e6fffffffff,316.0,14.0,0.0,0.0
8366f0fffffffff,40.0,0.0,0.0,0.0
8366f1fffffffff,306.0,9.0,0.0,0.0
8366f5fffffffff,52.0,0.0,0.0,0.0
836741fffffffff,13.0,1.0,0.0,0.0
836742fffffffff,2.0,0.0,0.0,0.0
836743fffffffff,78.0,0.0,0.0,0.0
83674cfffffffff,14.0,0.0,0.0,0.0
83674efffffffff,35.0,0.0,0.0,0.0
836751fffffffff,1.0,0.0,0.0,0.0
836753fffffffff,23.0,0.0,0.0,0.0
83675afffffffff,7.0,0.0,0.0,0.0
83675cfffffffff,35.0,0.0,0.0,0.0
83675efffffffff,15.0,0.0,0.0,0.0
836790fffffffff,13.0,0.0,0.0,0.0
836792fffffffff,3.0,0.0,0.0,0.0
836793fffffffff,4.0,0.0,0.0,0.0
836796fffffffff,23.0,0.0,0.0,0.0
83679afffffffff,214.0,0.0,0.0,0.0
83679bfffffffff,104.0,0.0,0.0,0.0
836d04fffffffff,17.0,0.0,0.0,0.0
836d05fffffffff,198.0,45.0,0.0,0.0
836d06fffffffff,3.0,0.0,0.0,0.0
836d14fffffffff,4.0,0.0,0.0,0.0
836d15fffffffff,176.0,23.0,0.0,0.0
836d20fffffffff,11.0,0.0,0.0,0.0
836d21fffffffff,125.0,22.0,0.0,0.0
836d22fffffffff,9.0,0.0,0.0,0.0
836d23fffffffff,95.0,12.0,0.0,0.0
836d25fffffffff,1.0,0.0,0.0,0.0
836d26fffffffff,3.0,0.0,0.0,0.0
836d28fffffffff,5.0,0.0,0.0,0.0
836d29fffffffff,233.0,15.0,0.0,0.0
836d2afffffffff,41.0,3.0,0.0,0.0
836d2bfffffffff,839.0,33.0,0.0,0.0
836d2cfffffffff,155.0,31.0,0.0,0.0
836d2dfffffffff,1126.0,591.0,0.0,0.0
836d2efffffffff,21.0,0.0,0.0,0.0
836d30fffffffff,51.0,1.0,0.0,0.0
836d31fffffffff,131.0,25.0,0.0,0.0
836d33fffffffff,97.0,9.0,0.0,0.0
836d34fffffffff,27.0,0.0,0.0,0.0
836d35fffffffff,146.0,2.0,0.0,0.0
836d36fffffffff,20.0,0.0,0.0,0.0
836d60fffffffff,31.0,0.0,0.0,0.0
836d61fffffffff,148.0,0.0,0.0,0.0
836d63fffffffff,2.0,0.0,0.0,0.0
836d64fffffffff,67.0,0.0,0.0,0.0
836d65fffffffff,420.0,0.0,0.0,0.0
836d66fffffffff,41.0,0.0,0.0,0.0
836d68fffffffff,323.0,0.0,0.0,0.0
836d69fffffffff,2410.0,0.0,0.0,0.0
