cell_id,Amazilia yucatanensis,Amazilia yucatanensis yucatanensis,Amazilia yucatanensis cerviniventris/chalconota
834424fffffffff,15.0,2.0,0.0
834440fffffffff,388.0,0.0,0.0
834444fffffffff,24.0,0.0,0.0
834445fffffffff,56.0,0.0,0.0
834446fffffffff,284.0,0.0,0.0
834455fffffffff,1.0,0.0,0.0
834463fffffffff,12.0,0.0,0.0
83446cfffffffff,103.0,0.0,2.0
83446efffffffff,63.0,0.0,0.0
834471fffffffff,11.0,0.0,0.0
834473fffffffff,44.0,0.0,0.0
834501fffffffff,241.0,7.0,0.0
834505fffffffff,60.0,10.0,0.0
834508fffffffff,603.0,225.0,0.0
834509fffffffff,257.0,106.0,0.0
83450afffffffff,480.0,85.0,0.0
83450bfffffffff,238.0,56.0,0.0
83450cfffffffff,160.0,22.0,0.0
83450dfffffffff,395.0,215.0,0.0
83450efffffffff,559.0,93.0,0.0
834521fffffffff,13.0,0.0,0.0
834523fffffffff,5.0,0.0,0.0
834528fffffffff,228.0,51.0,0.0
834529fffffffff,22.0,0.0,0.0
83452afffffffff,565.0,26.0,0.0
83452bfffffffff,213.0,41.0,0.0
83452cfffffffff,87.0,9.0,0.0
83452dfffffffff,15.0,0.0,0.0
83452efffffffff,274.0,20.0,0.0
834564fffffffff,10.0,0.0,2.0
83456dfffffffff,13.0,0.0,0.0
834572fffffffff,166.0,83.0,0.0
834574fffffffff,17.0,0.0,0.0
834576fffffffff,19.0,4.0,0.0
834882fffffffff,5.0,0.0,0.0
834890fffffffff,731.0,0.0,8.0
834891fffffffff,563.0,0.0,0.0
834892fffffffff,105.0,0.0,0.0
834893fffffffff,18.0,0.0,0.0
834895fffffffff,1335.0,0.0,7.0
83489efffffffff,11.0,0.0,0.0
8348a2fffffffff,409.0,0.0,0.0
8348a6fffffffff,6.0,0.0,0.0
8348b1fffffffff,301.0,0.0,5.0
8348b2fffffffff,2787.0,0.0,70.0
8348b3fffffffff,21520.0,0.0,674.0
8348b4fffffffff,11.0,0.0,0.0
8348b5fffffffff,22.0,0.0,0.0
834990fffffffff,77.0,0.0,4.0
834991fffffffff,8.0,0.0,0.0
834992fffffffff,78.0,0.0,17.0
834993fffffffff,35.0,0.0,11.0
834996fffffffff,5002.0,0.0,268.0
834998fffffffff,221.0,0.0,0.0
83499afffffffff,7.0,0.0,0.0
83499bfffffffff,19.0,0.0,0.0
83499cfffffffff,14.0,0.0,0.0
83499efffffffff,80.0,0.0,0.0
836d20fffffffff,187.0,0.0,0.0
836d21fffffffff,30.0,0.0,0.0
836d22fffffffff,8.0,0.0,0.0
836d23fffffffff,386.0,0.0,0.0
836d24fffffffff,142.0,2.0,0.0
836d25fffffffff,492.0,24.0,0.0
836d26fffffffff,15.0,0.0,0.0
836d2cfffffffff,2.0,0.0,0.0
836d30fffffffff,42.0,0.0,0.0
836d31fffffffff,27.0,0.0,0.0
836d34fffffffff,1973.0,0.0,47.0
836d35fffffffff,1848.0,0.0,5.0
836d36fffffffff,35.0,0.0,0.0
