cell_id,Stilpnia cayana,Stilpnia cayana cayana/fulvescens,Stilpnia cayana [flava Group]
845f1cbffffffff,4.0,4.0,0.0
845f42bffffffff,2.0,0.0,0.0
845f445ffffffff,1.0,0.0,0.0
845f711ffffffff,1.0,0.0,0.0
846601bffffffff,28.0,6.0,0.0
84660cdffffffff,1.0,0.0,0.0
8466415ffffffff,1.0,0.0,0.0
8466601ffffffff,1.0,0.0,0.0
8466e1dffffffff,4.0,0.0,0.0
8466e51ffffffff,2.0,0.0,0.0
8467413ffffffff,2.0,0.0,0.0
84675cbffffffff,15.0,0.0,0.0
848adbbffffffff,3.0,0.0,0.0
848b1e1ffffffff,2.0,0.0,0.0
84a88e9ffffffff,1.0,0.0,1.0
84a9431ffffffff,2.0,0.0,0.0
84a943dffffffff,26.0,0.0,0.0
84a9447ffffffff,1.0,0.0,0.0
84a9461ffffffff,2.0,0.0,0.0
84a9465ffffffff,13.0,0.0,0.0
84a955bffffffff,1.0,0.0,0.0
84a95a5ffffffff,2.0,0.0,0.0
84a95abffffffff,2.0,0.0,0.0
