cell_id,Nyctanassa violacea,Nyctanassa violacea [violacea Group],Nyctanassa violacea pauper
82125ffffffffff,15.0,0.0,0.0
8212cffffffffff,58.0,0.0,0.0
821827fffffffff,2.0,0.0,0.0
821aa7fffffffff,34.0,2.0,0.0
821ab7fffffffff,1.0,0.0,0.0
822607fffffffff,9.0,0.0,0.0
82260ffffffffff,25.0,0.0,0.0
82261ffffffffff,16.0,0.0,0.0
822627fffffffff,30.0,0.0,0.0
82262ffffffffff,114.0,2.0,0.0
822647fffffffff,38.0,0.0,0.0
82264ffffffffff,115.0,0.0,0.0
822657fffffffff,76.0,2.0,0.0
82265ffffffffff,36.0,0.0,0.0
822667fffffffff,265.0,0.0,0.0
82266ffffffffff,44.0,0.0,0.0
822677fffffffff,34.0,0.0,0.0
822687fffffffff,49.0,0.0,0.0
82268ffffffffff,221.0,0.0,0.0
822697fffffffff,2.0,0.0,0.0
8226affffffffff,33.0,0.0,0.0
8226c7fffffffff,8.0,0.0,0.0
8226cffffffffff,31.0,0.0,0.0
8226d7fffffffff,48.0,0.0,0.0
8226dffffffffff,8.0,0.0,0.0
8226e7fffffffff,21.0,0.0,0.0
8226effffffffff,21.0,0.0,0.0
8226f7fffffffff,15.0,0.0,0.0
822707fffffffff,10.0,0.0,0.0
82271ffffffffff,1.0,0.0,0.0
822747fffffffff,16.0,0.0,0.0
82274ffffffffff,134.0,6.0,0.0
822757fffffffff,5.0,0.0,0.0
82275ffffffffff,93.0,0.0,0.0
822767fffffffff,1.0,0.0,0.0
822837fffffffff,117.0,8.0,0.0
822917fffffffff,206.0,5.0,0.0
82291ffffffffff,7.0,0.0,0.0
822987fffffffff,4.0,0.0,0.0
8229a7fffffffff,1919.0,24.0,0.0
8229affffffffff,280.0,1.0,0.0
8229b7fffffffff,2.0,0.0,0.0
822a07fffffffff,87.0,0.0,0.0
822a17fffffffff,970.0,63.0,0.0
822a37fffffffff,1459.0,6.0,0.0
822a87fffffffff,26.0,3.0,0.0
822a8ffffffffff,101.0,0.0,0.0
822a97fffffffff,147.0,3.0,0.0
822a9ffffffffff,67.0,0.0,0.0
822aa7fffffffff,120.0,3.0,0.0
822aaffffffffff,1585.0,34.0,0.0
822ab7fffffffff,222.0,0.0,0.0
822ac7fffffffff,3.0,0.0,0.0
822ad7fffffffff,15.0,0.0,0.0
822af7fffffffff,191.0,0.0,0.0
822b07fffffffff,12.0,0.0,0.0
822b0ffffffffff,142.0,0.0,0.0
822b17fffffffff,3.0,0.0,0.0
822b1ffffffffff,535.0,0.0,0.0
822b27fffffffff,1.0,0.0,0.0
822b2ffffffffff,34.0,0.0,0.0
822b37fffffffff,18.0,0.0,0.0
822b87fffffffff,23.0,0.0,0.0
822b8ffffffffff,31.0,0.0,0.0
822b9ffffffffff,306.0,0.0,0.0
822baffffffffff,108.0,0.0,0.0
823427fffffffff,3.0,0.0,0.0
823467fffffffff,3.0,0.0,0.0
82351ffffffffff,1.0,0.0,0.0
8235affffffffff,4.0,0.0,0.0
823917fffffffff,29.0,0.0,0.0
824417fffffffff,14.0,3.0,0.0
82441ffffffffff,30.0,4.0,0.0
824427fffffffff,2.0,2.0,0.0
824447fffffffff,114.0,0.0,0.0
82444ffffffffff,34.0,0.0,0.0
824457fffffffff,18.0,0.0,0.0
