cell_id,Ramphastos tucanus,Ramphastos tucanus tucanus,Ramphastos tucanus cuvieri/inca
845f00dffffffff,2.0,0.0,0.0
845f011ffffffff,5.0,0.0,0.0
845f013ffffffff,1.0,0.0,0.0
845f017ffffffff,5.0,0.0,0.0
845f01bffffffff,4.0,0.0,0.0
845f025ffffffff,2.0,0.0,0.0
845f02bffffffff,5.0,0.0,0.0
845f031ffffffff,4.0,0.0,0.0
845f035ffffffff,64.0,0.0,0.0
845f037ffffffff,4.0,0.0,0.0
845f03dffffffff,116.0,13.0,0.0
845f063ffffffff,1.0,0.0,0.0
845f089ffffffff,2.0,0.0,0.0
845f08bffffffff,9.0,0.0,0.0
845f091ffffffff,4.0,0.0,0.0
845f095ffffffff,84.0,0.0,0.0
845f09dffffffff,9.0,0.0,0.0
845f0d7ffffffff,29.0,0.0,0.0
845f0d9ffffffff,3.0,0.0,0.0
845f105ffffffff,23.0,0.0,0.0
845f107ffffffff,9.0,0.0,0.0
845f10dffffffff,1.0,0.0,0.0
845f117ffffffff,6.0,0.0,0.0
845f129ffffffff,8.0,0.0,0.0
845f139ffffffff,13.0,0.0,0.0
845f13bffffffff,5.0,0.0,0.0
845f13dffffffff,15.0,0.0,0.0
845f143ffffffff,18.0,0.0,0.0
845f161ffffffff,6.0,0.0,0.0
845f163ffffffff,9.0,0.0,0.0
845f1c3ffffffff,5.0,0.0,0.0
845f1c9ffffffff,1.0,0.0,0.0
845f1cbffffffff,53.0,0.0,0.0
845f223ffffffff,2.0,1.0,0.0
845f227ffffffff,2.0,1.0,0.0
845f237ffffffff,1.0,0.0,0.0
845f291ffffffff,2.0,0.0,0.0
845f295ffffffff,70.0,0.0,0.0
845f299ffffffff,13.0,0.0,0.0
845f2b1ffffffff,110.0,0.0,0.0
845f2b3ffffffff,681.0,0.0,0.0
845f2b9ffffffff,3.0,0.0,0.0
845f2bbffffffff,857.0,0.0,0.0
845f2c3ffffffff,1.0,0.0,0.0
845f2d3ffffffff,2.0,0.0,0.0
845f2d7ffffffff,6.0,0.0,0.0
845f407ffffffff,24.0,0.0,0.0
845f42bffffffff,86.0,2.0,0.0
845f439ffffffff,2.0,0.0,0.0
845f445ffffffff,4.0,0.0,0.0
845f46bffffffff,5.0,0.0,0.0
845f483ffffffff,4.0,0.0,0.0
845f487ffffffff,21.0,0.0,0.0
845f4a3ffffffff,10.0,0.0,0.0
845f4a7ffffffff,8.0,0.0,0.0
845f4a9ffffffff,22.0,0.0,0.0
845f4abffffffff,4.0,0.0,0.0
845f4bdffffffff,17.0,0.0,0.0
845f4e1ffffffff,3.0,0.0,0.0
845f4e5ffffffff,13.0,0.0,0.0
845f4e7ffffffff,11.0,0.0,0.0
845f501ffffffff,5.0,0.0,0.0
845f50bffffffff,22.0,0.0,0.0
845f549ffffffff,59.0,0.0,0.0
845f56bffffffff,6.0,0.0,0.0
845f59bffffffff,1.0,1.0,0.0
845f5dbffffffff,8.0,0.0,0.0
845f637ffffffff,3.0,0.0,0.0
845f665ffffffff,1.0,0.0,0.0
845f683ffffffff,27.0,6.0,0.0
845f689ffffffff,6.0,0.0,0.0
845f68bffffffff,56.0,0.0,0.0
845f703ffffffff,2.0,0.0,0.0
845f709ffffffff,1.0,0.0,0.0
845f711ffffffff,59.0,9.0,0.0
845f713ffffffff,41.0,1.0,0.0
845f717ffffffff,6.0,0.0,0.0
845f755ffffffff,10.0,0.0,0.0
845f757ffffffff,1.0,0.0,0.0
845f759ffffffff,77.0,1.0,0.0
845f75dffffffff,38.0,0.0,0.0
845f767ffffffff,13.0,0.0,0.0
8466091ffffffff,2.0,0.0,0.0
8466099ffffffff,14.0,0.0,0.0
846609bffffffff,2.0,0.0,0.0
84660b3ffffffff,3.0,0.0,0.0
84660d1ffffffff,63.0,0.0,0.0
84660d3ffffffff,41.0,0.0,0.0
84660d9ffffffff,7.0,0.0,0.0
84660dbffffffff,7.0,0.0,0.0
8466293ffffffff,15.0,0.0,0.0
846629bffffffff,43.0,0.0,0.0
84662b5ffffffff,7.0,0.0,0.0
84662b7ffffffff,2.0,0.0,0.0
84662bdffffffff,1.0,0.0,0.0
8466403ffffffff,1.0,0.0,0.0
846640dffffffff,3.0,0.0,0.0
8466411ffffffff,95.0,0.0,11.0
8466415ffffffff,382.0,0.0,0.0
8466417ffffffff,47.0,0.0,2.0
8466419ffffffff,2.0,0.0,0.0
846641dffffffff,201.0,0.0,0.0
8466437ffffffff,1.0,0.0,0.0
8466439ffffffff,1.0,0.0,0.0
846643bffffffff,1.0,0.0,0.0
8466455ffffffff,1.0,0.0,0.0
8466481ffffffff,2.0,0.0,0.0
8466485ffffffff,7.0,0.0,0.0
8466487ffffffff,14.0,0.0,0.0
846648dffffffff,2.0,0.0,0.0
84664e1ffffffff,3.0,0.0,0.0
84664e9ffffffff,3.0,0.0,0.0
8466505ffffffff,4.0,0.0,0.0
8466507ffffffff,1.0,0.0,0.0
8466509ffffffff,11.0,0.0,0.0
846650dffffffff,2.0,0.0,0.0
8466513ffffffff,2.0,0.0,0.0
8466521ffffffff,2.0,0.0,0.0
8466525ffffffff,4.0,0.0,0.0
8466529ffffffff,209.0,0.0,0.0
846652bffffffff,3.0,0.0,0.0
846652dffffffff,427.0,0.0,0.0
8466537ffffffff,4.0,0.0,0.0
846654bffffffff,9.0,0.0,0.0
8466561ffffffff,20.0,0.0,0.0
8466563ffffffff,7.0,0.0,0.0
8466565ffffffff,42.0,0.0,0.0
8466567ffffffff,9.0,0.0,0.0
8466569ffffffff,7.0,0.0,0.0
846656dffffffff,12.0,0.0,0.0
84665a3ffffffff,16.0,0.0,0.0
84665abffffffff,551.0,0.0,64.0
84665bdffffffff,590.0,0.0,41.0
84665e9ffffffff,165.0,0.0,0.0
8466633ffffffff,7.0,0.0,0.0
8466637ffffffff,28.0,0.0,2.0
84666a1ffffffff,5.0,0.0,0.0
84666b3ffffffff,4.0,0.0,0.0
84666b7ffffffff,1.0,0.0,0.0
84666b9ffffffff,6.0,0.0,2.0
84666c5ffffffff,8.0,0.0,0.0
84666e3ffffffff,7.0,0.0,0.0
84666ebffffffff,13.0,0.0,9.0
8466707ffffffff,2.0,0.0,0.0
846670dffffffff,7.0,0.0,0.0
8466723ffffffff,2.0,0.0,0.0
8466725ffffffff,28.0,0.0,0.0
8466749ffffffff,2.0,0.0,0.0
846675dffffffff,1.0,0.0,0.0
8466763ffffffff,3.0,0.0,0.0
8466767ffffffff,2.0,0.0,0.0
846676dffffffff,10.0,0.0,0.0
8466c01ffffffff,41.0,0.0,0.0
8466c03ffffffff,7.0,0.0,0.0
8466c05ffffffff,16.0,0.0,0.0
8466c07ffffffff,4.0,0.0,0.0
8466c09ffffffff,3.0,0.0,0.0
8466c0dffffffff,19.0,0.0,0.0
8466c15ffffffff,1.0,0.0,0.0
8466c17ffffffff,8.0,0.0,0.0
8466c19ffffffff,5.0,0.0,0.0
8466c1dffffffff,4.0,0.0,0.0
8466c21ffffffff,192.0,0.0,0.0
8466c23ffffffff,302.0,0.0,2.0
8466c27ffffffff,56.0,0.0,0.0
8466c29ffffffff,104.0,0.0,0.0
8466c2bffffffff,55.0,0.0,0.0
8466c2dffffffff,3.0,0.0,0.0
8466c35ffffffff,19.0,0.0,0.0
8466c37ffffffff,20.0,0.0,3.0
8466c53ffffffff,19.0,0.0,0.0
8466c55ffffffff,1.0,0.0,0.0
8466c57ffffffff,50.0,0.0,0.0
8466c5bffffffff,24.0,0.0,0.0
8466c5dffffffff,123.0,0.0,0.0
8466c95ffffffff,20.0,0.0,0.0
8466cc5ffffffff,16.0,0.0,0.0
8466cd1ffffffff,2.0,0.0,0.0
8466cd3ffffffff,2.0,0.0,0.0
8466cdbffffffff,14.0,0.0,1.0
8466ce1ffffffff,34.0,0.0,0.0
8466ce9ffffffff,120.0,0.0,1.0
8466cedffffffff,20.0,0.0,0.0
8466d13ffffffff,27.0,0.0,2.0
8466d1bffffffff,396.0,0.0,0.0
8466d81ffffffff,203.0,0.0,9.0
8466d85ffffffff,2.0,0.0,0.0
