cell_id,Anthus petrosus,Anthus petrosus petrosus/kleinschmidti,Anthus petrosus littoralis
820127fffffffff,2.0,0.0,0.0
820137fffffffff,239.0,0.0,33.0
820807fffffffff,12.0,0.0,0.0
820817fffffffff,18.0,0.0,0.0
82082ffffffffff,5.0,0.0,0.0
820837fffffffff,27.0,0.0,1.0
820887fffffffff,21.0,0.0,0.0
82088ffffffffff,36.0,0.0,2.0
820897fffffffff,16.0,0.0,0.0
82089ffffffffff,38.0,0.0,0.0
8208a7fffffffff,1.0,0.0,0.0
8208b7fffffffff,8.0,0.0,0.0
8208d7fffffffff,7.0,0.0,0.0
8208f7fffffffff,2.0,0.0,0.0
820937fffffffff,32.0,0.0,0.0
82094ffffffffff,5.0,0.0,0.0
82095ffffffffff,17.0,0.0,0.0
820987fffffffff,166.0,0.0,6.0
82098ffffffffff,5.0,0.0,0.0
820997fffffffff,368.0,0.0,2.0
82099ffffffffff,69.0,0.0,7.0
8209a7fffffffff,426.0,46.0,2.0
8209affffffffff,46.0,0.0,0.0
821127fffffffff,2.0,0.0,0.0
821807fffffffff,476.0,84.0,0.0
82180ffffffffff,67.0,3.0,0.0
821827fffffffff,283.0,44.0,0.0
82182ffffffffff,852.0,142.0,0.0
821847fffffffff,218.0,4.0,0.0
82184ffffffffff,224.0,0.0,0.0
82185ffffffffff,10.0,0.0,0.0
821867fffffffff,182.0,25.0,0.0
82186ffffffffff,8.0,0.0,0.0
821877fffffffff,983.0,143.0,0.0
821907fffffffff,45.0,0.0,0.0
82190ffffffffff,819.0,62.0,0.0
82191ffffffffff,8.0,0.0,0.0
821927fffffffff,118.0,0.0,0.0
82192ffffffffff,444.0,106.0,0.0
821947fffffffff,945.0,21.0,107.0
82194ffffffffff,1803.0,90.0,33.0
821957fffffffff,1060.0,79.0,2.0
82195ffffffffff,739.0,33.0,6.0
821967fffffffff,1.0,0.0,0.0
82196ffffffffff,332.0,0.0,0.0
821977fffffffff,693.0,29.0,10.0
821f07fffffffff,98.0,0.0,9.0
821f0ffffffffff,13.0,0.0,0.0
821f17fffffffff,31.0,0.0,0.0
821f27fffffffff,152.0,0.0,5.0
821f2ffffffffff,77.0,0.0,28.0
821f37fffffffff,319.0,0.0,24.0
821f67fffffffff,4.0,0.0,0.0
821f77fffffffff,123.0,0.0,0.0
821fa7fffffffff,3.0,0.0,0.0
823927fffffffff,27.0,0.0,0.0
82392ffffffffff,5.0,0.0,0.0
