cell_id,Melanopareia torquata,Melanopareia torquata bitorquata,Melanopareia torquata torquata/rufescens
8481063ffffffff,1.0,0.0,1.0
848b105ffffffff,4.0,4.0,0.0
84a81a5ffffffff,6.0,0.0,0.0
84a81ebffffffff,7.0,0.0,0.0
84a8d19ffffffff,1.0,0.0,1.0
84a95abffffffff,4.0,0.0,0.0
