cell_id,Dumetia hyperythra,Dumetia hyperythra hyperythra,Dumetia hyperythra albogularis/phillipsi
833c36fffffffff,3.0,0.0,0.0
833c8cfffffffff,2.0,0.0,0.0
833c8dfffffffff,1.0,0.0,0.0
833c8efffffffff,13.0,0.0,0.0
833c95fffffffff,1.0,0.0,0.0
833ca3fffffffff,1.0,0.0,0.0
833ca8fffffffff,12.0,0.0,0.0
833ca9fffffffff,7.0,0.0,0.0
833cabfffffffff,9.0,0.0,0.0
833cf6fffffffff,2.0,0.0,0.0
833d10fffffffff,9.0,0.0,0.0
833d12fffffffff,3.0,0.0,0.0
833d14fffffffff,5.0,0.0,0.0
833d8cfffffffff,2.0,0.0,0.0
833da3fffffffff,2.0,0.0,0.0
833dacfffffffff,2.0,0.0,0.0
833db2fffffffff,6.0,0.0,0.0
833db6fffffffff,27.0,0.0,0.0
8342cdfffffffff,2.0,0.0,0.0
8342dcfffffffff,7.0,0.0,0.0
8342ebfffffffff,5.0,0.0,0.0
836006fffffffff,3.0,0.0,0.0
836011fffffffff,4.0,0.0,0.0
836013fffffffff,5.0,0.0,0.0
836014fffffffff,28.0,0.0,0.0
836015fffffffff,10.0,0.0,0.0
836016fffffffff,21.0,0.0,0.0
83601efffffffff,2.0,0.0,0.0
836031fffffffff,280.0,0.0,0.0
836032fffffffff,1.0,0.0,0.0
836033fffffffff,786.0,0.0,0.0
836035fffffffff,18.0,0.0,0.0
836084fffffffff,14.0,0.0,0.0
836088fffffffff,2.0,0.0,0.0
83608afffffffff,2.0,0.0,0.0
83608cfffffffff,2.0,0.0,0.0
836090fffffffff,2.0,0.0,0.0
836093fffffffff,2.0,0.0,0.0
8360a2fffffffff,1.0,0.0,0.0
8360a8fffffffff,5.0,0.0,0.0
8360a9fffffffff,38.0,0.0,0.0
8360adfffffffff,7.0,0.0,0.0
836189fffffffff,6.0,0.0,0.0
83618bfffffffff,15.0,0.0,0.0
