cell_id,Euphonia laniirostris,Euphonia laniirostris melanura/crassirostris,Euphonia laniirostris [laniirostris Group]
836608fffffffff,8.0,0.0,0.0
836610fffffffff,3.0,0.0,0.0
836612fffffffff,3.0,0.0,0.0
836616fffffffff,2.0,0.0,0.0
836619fffffffff,6.0,1.0,0.0
836622fffffffff,1.0,1.0,0.0
8366a0fffffffff,1.0,0.0,0.0
8366a5fffffffff,5.0,0.0,0.0
8366b1fffffffff,1.0,0.0,0.0
8366b4fffffffff,2.0,0.0,0.0
8366b5fffffffff,26.0,0.0,0.0
8366c6fffffffff,4.0,0.0,0.0
8366d3fffffffff,10.0,2.0,4.0
8366defffffffff,4.0,0.0,0.0
8366e6fffffffff,7.0,0.0,0.0
8366e8fffffffff,1.0,0.0,0.0
8366f5fffffffff,4.0,2.0,0.0
836741fffffffff,1.0,0.0,0.0
83675afffffffff,4.0,0.0,0.0
83679bfffffffff,2.0,0.0,0.0
836d69fffffffff,14.0,0.0,0.0
838af6fffffffff,1.0,1.0,0.0
838b22fffffffff,2.0,0.0,2.0
838b63fffffffff,5.0,0.0,5.0
838b74fffffffff,1.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0
838b99fffffffff,4.0,0.0,0.0
838f0dfffffffff,5.0,0.0,0.0
838f2afffffffff,4.0,0.0,0.0
838f2bfffffffff,2.0,0.0,0.0
838f50fffffffff,5.0,0.0,0.0
