cell_id,Leptopogon superciliaris,Leptopogon superciliaris transandinus,Leptopogon superciliaris superciliaris,Leptopogon superciliaris albidiventer
835f48fffffffff,1.0,0.0,0.0,0.0
836601fffffffff,1.0,0.0,1.0,0.0
836611fffffffff,1.0,1.0,0.0,0.0
836613fffffffff,3.0,0.0,0.0,0.0
836619fffffffff,1.0,0.0,1.0,0.0
83661bfffffffff,2.0,0.0,0.0,0.0
83661dfffffffff,2.0,0.0,2.0,0.0
8366a0fffffffff,8.0,0.0,0.0,0.0
8366a5fffffffff,1.0,0.0,0.0,0.0
8366b4fffffffff,2.0,0.0,0.0,0.0
8366c0fffffffff,1.0,0.0,0.0,0.0
8366d1fffffffff,8.0,0.0,2.0,0.0
8366d3fffffffff,26.0,26.0,0.0,0.0
8366defffffffff,17.0,0.0,0.0,0.0
8366e0fffffffff,2.0,0.0,0.0,0.0
8366e6fffffffff,3.0,0.0,3.0,0.0
83674efffffffff,1.0,0.0,1.0,0.0
83675afffffffff,1.0,0.0,1.0,0.0
83675cfffffffff,4.0,0.0,0.0,0.0
836d69fffffffff,8.0,1.0,0.0,0.0
838b61fffffffff,12.0,0.0,0.0,10.0
838b69fffffffff,4.0,0.0,0.0,0.0
838b6efffffffff,14.0,0.0,0.0,0.0
838e6cfffffffff,3.0,0.0,0.0,0.0
838f0dfffffffff,5.0,0.0,0.0,0.0
838f42fffffffff,4.0,0.0,0.0,0.0
838f4bfffffffff,12.0,0.0,0.0,0.0
838f74fffffffff,1.0,0.0,0.0,0.0
