cell_id,Dicaeum hirundinaceum,Dicaeum hirundinaceum hirundinaceum,Dicaeum hirundinaceum ignicolle
82941ffffffffff,103.0,0.0,0.0
829447fffffffff,1.0,0.0,0.0
82944ffffffffff,2.0,0.0,0.0
829457fffffffff,1227.0,0.0,0.0
82945ffffffffff,726.0,0.0,0.0
829487fffffffff,1101.0,0.0,0.0
82948ffffffffff,39.0,0.0,0.0
829497fffffffff,12.0,0.0,0.0
8294affffffffff,154.0,0.0,0.0
8294c7fffffffff,25.0,0.0,0.0
8294cffffffffff,31.0,0.0,0.0
8294d7fffffffff,8.0,0.0,0.0
8294e7fffffffff,194.0,0.0,0.0
8294effffffffff,404.0,0.0,0.0
8294f7fffffffff,138.0,0.0,0.0
829c07fffffffff,848.0,0.0,0.0
829c0ffffffffff,83.0,0.0,0.0
829c1ffffffffff,652.0,0.0,0.0
829c27fffffffff,4445.0,0.0,0.0
829c2ffffffffff,40.0,0.0,0.0
829c47fffffffff,27.0,0.0,0.0
829c4ffffffffff,48.0,0.0,0.0
829c5ffffffffff,57.0,0.0,0.0
829c67fffffffff,90.0,0.0,0.0
829c6ffffffffff,5.0,0.0,0.0
829c77fffffffff,37.0,0.0,0.0
829ce7fffffffff,29.0,0.0,0.0
829ceffffffffff,56.0,0.0,0.0
829cf7fffffffff,68.0,0.0,0.0
829d07fffffffff,113.0,0.0,0.0
829d0ffffffffff,541.0,0.0,0.0
829d27fffffffff,742.0,0.0,0.0
829d2ffffffffff,61.0,0.0,0.0
829d47fffffffff,115.0,0.0,0.0
829d4ffffffffff,215.0,0.0,0.0
829d57fffffffff,24.0,0.0,0.0
829d5ffffffffff,17.0,0.0,0.0
829d67fffffffff,17.0,0.0,0.0
829d6ffffffffff,5.0,0.0,0.0
829d77fffffffff,32.0,0.0,0.0
82a617fffffffff,25.0,0.0,0.0
82a627fffffffff,6.0,0.0,0.0
82a637fffffffff,7.0,0.0,0.0
82a6a7fffffffff,12.0,0.0,0.0
82a707fffffffff,54.0,0.0,0.0
82a717fffffffff,28.0,0.0,0.0
82a71ffffffffff,15.0,0.0,0.0
82a727fffffffff,165.0,0.0,0.0
82a737fffffffff,29.0,0.0,0.0
82a787fffffffff,18.0,0.0,0.0
82a78ffffffffff,28.0,0.0,0.0
82a797fffffffff,4.0,0.0,0.0
82a79ffffffffff,18.0,0.0,0.0
82a7a7fffffffff,4.0,0.0,0.0
82b817fffffffff,2.0,0.0,0.0
82b82ffffffffff,2.0,0.0,0.0
82b847fffffffff,5.0,0.0,0.0
82b84ffffffffff,2.0,0.0,0.0
82b857fffffffff,4.0,0.0,0.0
82b86ffffffffff,7.0,0.0,0.0
82b887fffffffff,500.0,0.0,0.0
82b88ffffffffff,10.0,0.0,0.0
82b897fffffffff,9.0,0.0,0.0
82b89ffffffffff,40.0,0.0,0.0
82b8a7fffffffff,6.0,0.0,0.0
82b8affffffffff,132.0,0.0,0.0
82b8b7fffffffff,4.0,0.0,0.0
82b917fffffffff,204.0,0.0,0.0
82b987fffffffff,111.0,0.0,0.0
82b98ffffffffff,12.0,0.0,0.0
82b997fffffffff,5.0,0.0,0.0
82b99ffffffffff,9.0,0.0,0.0
82b9a7fffffffff,117.0,0.0,0.0
82b9affffffffff,69.0,0.0,0.0
82b9b7fffffffff,57.0,0.0,0.0
82be0ffffffffff,2383.0,0.0,0.0
82be1ffffffffff,831.0,0.0,0.0
82be2ffffffffff,17.0,0.0,0.0
82be47fffffffff,1439.0,0.0,0.0
82be4ffffffffff,343.0,0.0,0.0
82be57fffffffff,692.0,0.0,0.0
82be5ffffffffff,49.0,0.0,0.0
82be67fffffffff,1372.0,0.0,0.0
82be6ffffffffff,225.0,0.0,0.0
82be77fffffffff,1353.0,0.0,0.0
82be8ffffffffff,7456.0,0.0,0.0
82beaffffffffff,1447.0,0.0,0.0
82bec7fffffffff,94.0,0.0,0.0
82becffffffffff,219.0,0.0,0.0
82bed7fffffffff,102.0,0.0,0.0
82bedffffffffff,27.0,0.0,0.0
82bee7fffffffff,562.0,0.0,0.0
82beeffffffffff,64.0,0.0,0.0
82bef7fffffffff,2266.0,0.0,0.0
82c997fffffffff,174.0,0.0,0.0
82c99ffffffffff,1.0,0.0,0.0
82c9b7fffffffff,16.0,0.0,0.0
