cell_id,Strepera versicolor,Strepera versicolor versicolor/plumbea,Strepera versicolor arguta,Strepera versicolor melanoptera,Strepera versicolor intermedia,Strepera versicolor halmaturina
83be08fffffffff,12.0,2.0,0.0,0.0,0.0,0.0
83be09fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83be0bfffffffff,2.0,2.0,0.0,0.0,0.0,0.0
83be0cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83be0dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83be45fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83be4cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83be4efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83be54fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83be59fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
83be60fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83be62fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83be63fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83be6bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83be72fffffffff,16.0,13.0,0.0,0.0,0.0,0.0
83be73fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83bf4cfffffffff,1.0,0.0,1.0,0.0,0.0,0.0
83c990fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
