cell_id,Melanodera xanthogramma,Melanodera xanthogramma barrosi,Melanodera xanthogramma xanthogramma
83b2c5fffffffff,57.0,2.0,0.0
83b2cafffffffff,26.0,0.0,0.0
83b2cefffffffff,1.0,0.0,0.0
83b2d9fffffffff,4.0,0.0,0.0
83ce80fffffffff,5.0,0.0,0.0
83ce81fffffffff,44.0,0.0,0.0
83ce83fffffffff,13.0,0.0,0.0
83ce85fffffffff,54.0,0.0,0.0
83ce8efffffffff,36.0,0.0,0.0
83ce99fffffffff,10.0,0.0,0.0
83ce9bfffffffff,4.0,0.0,0.0
83ce9cfffffffff,19.0,0.0,0.0
83ce9dfffffffff,41.0,0.0,0.0
83cea0fffffffff,3.0,0.0,0.0
83cea3fffffffff,4.0,0.0,0.0
83ceaafffffffff,45.0,0.0,0.0
83cf12fffffffff,121.0,11.0,0.0
83cf13fffffffff,2.0,0.0,0.0
83cf16fffffffff,1.0,0.0,1.0
83cf81fffffffff,4.0,0.0,0.0
83cf88fffffffff,8.0,0.0,0.0
83cf8afffffffff,12.0,0.0,0.0
83cf8bfffffffff,1.0,0.0,0.0
83cf8cfffffffff,11.0,0.0,0.0
83cf8dfffffffff,1.0,0.0,0.0
83cf8efffffffff,4.0,0.0,0.0
83cfa4fffffffff,9.0,0.0,0.0
83cfa5fffffffff,2.0,0.0,0.0
83cfa8fffffffff,18.0,0.0,0.0
83cfaafffffffff,97.0,0.0,0.0
83cfabfffffffff,1.0,0.0,0.0
83cfacfffffffff,11.0,0.0,0.0
83cfaefffffffff,3.0,0.0,0.0
83df41fffffffff,4.0,0.0,0.0
83df44fffffffff,9.0,0.0,0.0
83df45fffffffff,185.0,0.0,17.0
83df68fffffffff,14.0,0.0,4.0
83df69fffffffff,12.0,0.0,4.0
83df6afffffffff,7.0,0.0,0.0
83df6bfffffffff,1.0,0.0,0.0
83df6dfffffffff,4.0,0.0,0.0
83df6efffffffff,2.0,0.0,0.0
