cell_id,Megascops ingens,Megascops ingens colombianus,Megascops ingens ingens/venezuelanus
83660cfffffffff,4.0,0.0,0.0
83660dfffffffff,1.0,0.0,0.0
836618fffffffff,5.0,5.0,0.0
83661bfffffffff,103.0,102.0,0.0
83661dfffffffff,54.0,33.0,0.0
836629fffffffff,2.0,0.0,0.0
8366c0fffffffff,13.0,0.0,0.0
8366c4fffffffff,6.0,0.0,0.0
8366c6fffffffff,20.0,9.0,0.0
8366d0fffffffff,31.0,31.0,0.0
8366d3fffffffff,299.0,178.0,0.0
8366dafffffffff,1.0,0.0,0.0
8366defffffffff,117.0,0.0,15.0
8366e6fffffffff,202.0,159.0,0.0
8366f1fffffffff,40.0,26.0,0.0
8366f3fffffffff,1.0,1.0,0.0
8366f5fffffffff,20.0,20.0,0.0
838b0cfffffffff,1.0,0.0,0.0
838b20fffffffff,3.0,0.0,0.0
838b22fffffffff,48.0,0.0,0.0
838b26fffffffff,2.0,0.0,0.0
838b28fffffffff,1.0,0.0,0.0
838b29fffffffff,1.0,0.0,0.0
838b2cfffffffff,3.0,0.0,0.0
838b61fffffffff,287.0,0.0,10.0
838b74fffffffff,19.0,0.0,0.0
838b75fffffffff,6.0,0.0,0.0
838e64fffffffff,36.0,0.0,0.0
838f42fffffffff,6.0,0.0,0.0
838f43fffffffff,3.0,0.0,0.0
838f46fffffffff,3.0,0.0,0.0
838f48fffffffff,3.0,0.0,0.0
838f55fffffffff,2.0,0.0,0.0
838f5dfffffffff,3.0,0.0,0.0
838f73fffffffff,1.0,0.0,0.0
838f74fffffffff,4.0,0.0,0.0
838f76fffffffff,30.0,0.0,0.0
83b324fffffffff,3.0,0.0,0.0
83b325fffffffff,10.0,0.0,0.0
