cell_id,Loriotus cristatus,Loriotus cristatus [cristatus Group],Loriotus cristatus nattereri
835f68fffffffff,1.0,0.0,0.0
8366c0fffffffff,1.0,0.0,0.0
8366c5fffffffff,2.0,0.0,0.0
8366defffffffff,11.0,5.0,0.0
8366e0fffffffff,21.0,0.0,0.0
8366e1fffffffff,3.0,0.0,0.0
8366e3fffffffff,29.0,0.0,0.0
8366e5fffffffff,4.0,0.0,0.0
838134fffffffff,8.0,0.0,0.0
83814afffffffff,2.0,2.0,0.0
83814efffffffff,3.0,3.0,0.0
838b42fffffffff,2.0,2.0,0.0
838b56fffffffff,1.0,1.0,0.0
838b83fffffffff,3.0,3.0,0.0
838f72fffffffff,3.0,3.0,0.0
83a883fffffffff,20.0,0.0,0.0
83a8a1fffffffff,3.0,3.0,0.0
83a8c0fffffffff,25.0,0.0,0.0
83a8ccfffffffff,1.0,0.0,0.0
