cell_id,Pycnonotus simplex,Pycnonotus simplex simplex/halizonus,Pycnonotus simplex prillwitzi/perplexus
826437fffffffff,148.0,33.0,0.0
826507fffffffff,455.0,0.0,0.0
82651ffffffffff,313.0,43.0,0.0
826527fffffffff,957.0,0.0,0.0
82652ffffffffff,11.0,0.0,0.0
826557fffffffff,9.0,0.0,0.0
826577fffffffff,4.0,0.0,0.0
826807fffffffff,17.0,0.0,0.0
826817fffffffff,142.0,0.0,10.0
82681ffffffffff,789.0,0.0,57.0
826887fffffffff,2.0,0.0,0.0
82688ffffffffff,13.0,0.0,7.0
82689ffffffffff,4.0,0.0,0.0
8268a7fffffffff,28.0,0.0,3.0
8268affffffffff,16.0,0.0,0.0
8268b7fffffffff,8.0,0.0,0.0
828c17fffffffff,61.0,0.0,0.0
828c1ffffffffff,8.0,0.0,0.0
828c97fffffffff,46.0,0.0,4.0
828caffffffffff,69.0,2.0,0.0
828cb7fffffffff,1.0,0.0,0.0
828cd7fffffffff,13.0,1.0,0.0
828d8ffffffffff,2.0,0.0,0.0
828da7fffffffff,34.0,0.0,0.0
828db7fffffffff,1.0,0.0,0.0
