cell_id,Cygnus columbianus,Cygnus columbianus columbianus,Cygnus columbianus bewickii,Cygnus columbianus columbianus x bewickii
830153fffffffff,7.0,0.0,2.0,0.0
8301b3fffffffff,2.0,0.0,0.0,0.0
830762fffffffff,1.0,0.0,1.0,0.0
830771fffffffff,2.0,0.0,0.0,0.0
830773fffffffff,1.0,0.0,1.0,0.0
83089afffffffff,9.0,0.0,0.0,0.0
8308a6fffffffff,2.0,0.0,2.0,0.0
830c14fffffffff,181.0,145.0,15.0,5.0
830c15fffffffff,1.0,1.0,0.0,0.0
830c41fffffffff,64.0,0.0,0.0,0.0
830c42fffffffff,1.0,0.0,0.0,0.0
830c45fffffffff,2.0,0.0,0.0,0.0
830c46fffffffff,4.0,0.0,0.0,0.0
830c51fffffffff,21.0,6.0,0.0,0.0
830c55fffffffff,11.0,0.0,0.0,0.0
830c5afffffffff,4.0,0.0,0.0,0.0
830c66fffffffff,9.0,0.0,0.0,0.0
830c70fffffffff,2.0,0.0,0.0,0.0
830c71fffffffff,4.0,0.0,0.0,0.0
830c73fffffffff,27.0,0.0,0.0,0.0
830c75fffffffff,2.0,0.0,0.0,0.0
830ca4fffffffff,8.0,1.0,4.0,0.0
830ceefffffffff,7.0,0.0,0.0,0.0
830d0dfffffffff,3.0,3.0,0.0,0.0
830d44fffffffff,1.0,0.0,0.0,0.0
830d59fffffffff,13.0,0.0,2.0,0.0
830d5bfffffffff,3.0,0.0,0.0,0.0
830d62fffffffff,2.0,0.0,0.0,0.0
830d75fffffffff,1.0,0.0,0.0,0.0
830d76fffffffff,3.0,0.0,0.0,0.0
830e00fffffffff,5.0,0.0,0.0,0.0
830e03fffffffff,10.0,0.0,0.0,0.0
830e0efffffffff,8.0,0.0,0.0,0.0
830e22fffffffff,1.0,0.0,0.0,0.0
830e4dfffffffff,1.0,0.0,0.0,0.0
830e80fffffffff,9.0,1.0,0.0,0.0
830ec2fffffffff,9.0,0.0,0.0,0.0
830eccfffffffff,10.0,2.0,0.0,0.0
830ee0fffffffff,18.0,0.0,0.0,0.0
830ee1fffffffff,2.0,0.0,0.0,0.0
