cell_id,Monachella muelleriana,Monachella muelleriana muelleriana,Monachella muelleriana coultasi
8372d2fffffffff,7.0,1.0,0.0
8372dafffffffff,9.0,1.0,0.0
839c8bfffffffff,3.0,0.0,0.0
839cd2fffffffff,1.0,0.0,0.0
