cell_id,Branta hutchinsii,Branta hutchinsii leucopareia,Branta hutchinsii hutchinsii,Branta hutchinsii minima,Branta hutchinsii taverneri
82278ffffffffff,95.0,0.0,2.0,0.0,0.0
822797fffffffff,133.0,0.0,3.0,0.0,0.0
82279ffffffffff,74.0,0.0,6.0,0.0,0.0
8227a7fffffffff,379.0,0.0,0.0,0.0,0.0
8227affffffffff,361.0,0.0,9.0,0.0,0.0
8227b7fffffffff,19.0,0.0,0.0,0.0,0.0
822807fffffffff,6185.0,3127.0,0.0,116.0,0.0
822817fffffffff,511.0,21.0,0.0,51.0,19.0
82281ffffffffff,6805.0,488.0,0.0,254.0,40.0
822837fffffffff,11852.0,2937.0,0.0,772.0,0.0
822887fffffffff,580.0,0.0,0.0,0.0,0.0
82288ffffffffff,1940.0,0.0,0.0,1.0,47.0
822897fffffffff,92.0,0.0,3.0,0.0,0.0
82289ffffffffff,27.0,0.0,0.0,0.0,0.0
8228a7fffffffff,8.0,0.0,0.0,0.0,0.0
8228affffffffff,225.0,0.0,0.0,2.0,10.0
8228b7fffffffff,129.0,0.0,0.0,0.0,0.0
8228c7fffffffff,3104.0,22.0,0.0,484.0,142.0
8228cffffffffff,29.0,0.0,0.0,1.0,0.0
8228d7fffffffff,17678.0,0.0,0.0,2073.0,1240.0
8228dffffffffff,2668.0,0.0,0.0,64.0,11.0
8228e7fffffffff,86.0,4.0,0.0,0.0,0.0
8228f7fffffffff,35067.0,181.0,0.0,1974.0,493.0
822917fffffffff,279.0,27.0,0.0,0.0,0.0
82291ffffffffff,266.0,87.0,0.0,31.0,0.0
822987fffffffff,85.0,0.0,0.0,0.0,0.0
82298ffffffffff,217.0,7.0,0.0,4.0,0.0
822997fffffffff,36.0,0.0,0.0,0.0,0.0
8229a7fffffffff,1406.0,177.0,0.0,8.0,0.0
8229affffffffff,1181.0,263.0,0.0,19.0,0.0
822a17fffffffff,171.0,0.0,11.0,0.0,0.0
822a87fffffffff,23.0,0.0,1.0,0.0,0.0
822a8ffffffffff,76.0,0.0,19.0,0.0,0.0
822a97fffffffff,185.0,0.0,0.0,0.0,0.0
822a9ffffffffff,5.0,0.0,0.0,0.0,0.0
822aa7fffffffff,729.0,0.0,198.0,0.0,0.0
822aaffffffffff,2200.0,0.0,507.0,0.0,0.0
822ab7fffffffff,605.0,0.0,33.0,0.0,0.0
822af7fffffffff,77.0,0.0,0.0,0.0,0.0
822b17fffffffff,39.0,0.0,0.0,0.0,0.0
822b87fffffffff,1264.0,0.0,291.0,0.0,0.0
822b8ffffffffff,176.0,0.0,98.0,0.0,0.0
822b97fffffffff,6.0,0.0,0.0,0.0,0.0
822b9ffffffffff,932.0,0.0,129.0,0.0,0.0
822baffffffffff,1170.0,0.0,0.0,0.0,0.0
822e0ffffffffff,23.0,0.0,0.0,0.0,0.0
822e1ffffffffff,2.0,0.0,0.0,0.0,0.0
822e47fffffffff,2.0,0.0,0.0,0.0,0.0
824447fffffffff,33.0,0.0,0.0,0.0,0.0
82444ffffffffff,12.0,0.0,0.0,0.0,0.0
82445ffffffffff,4.0,0.0,0.0,0.0,0.0
82446ffffffffff,39.0,0.0,0.0,0.0,0.0
82464ffffffffff,10.0,0.0,0.0,0.0,0.0
82485ffffffffff,56.0,0.0,0.0,0.0,0.0
82488ffffffffff,8.0,0.0,0.0,0.0,0.0
824897fffffffff,44.0,0.0,0.0,0.0,0.0
82489ffffffffff,9.0,0.0,0.0,0.0,0.0
8248c7fffffffff,420.0,0.0,31.0,0.0,0.0
8248d7fffffffff,149.0,0.0,3.0,0.0,0.0
8248dffffffffff,2671.0,0.0,125.0,0.0,0.0
825d17fffffffff,620.0,0.0,0.0,203.0,0.0
