cell_id,Saxicola maurus,Saxicola maurus hemprichii,Saxicola maurus [maurus Group],Saxicola maurus przewalskii
83074efffffffff,3.0,0.0,3.0,0.0
830883fffffffff,2.0,0.0,0.0,0.0
830884fffffffff,2.0,0.0,2.0,0.0
830895fffffffff,4.0,0.0,2.0,0.0
830991fffffffff,3.0,3.0,0.0,0.0
8309a6fffffffff,8.0,0.0,0.0,0.0
831181fffffffff,1.0,0.0,0.0,0.0
831592fffffffff,1.0,0.0,0.0,0.0
831828fffffffff,3.0,0.0,0.0,0.0
831873fffffffff,3.0,2.0,0.0,0.0
831940fffffffff,2.0,0.0,1.0,0.0
831941fffffffff,5.0,0.0,0.0,0.0
831948fffffffff,1.0,0.0,1.0,0.0
83194cfffffffff,8.0,0.0,1.0,0.0
83194dfffffffff,4.0,0.0,0.0,0.0
831951fffffffff,3.0,0.0,3.0,0.0
831968fffffffff,4.0,0.0,0.0,0.0
831e92fffffffff,3.0,0.0,3.0,0.0
831ec9fffffffff,8.0,0.0,0.0,0.0
831ecafffffffff,2.0,0.0,0.0,0.0
831ecbfffffffff,2.0,1.0,0.0,0.0
831edcfffffffff,13.0,7.0,0.0,0.0
831ee9fffffffff,3.0,0.0,0.0,0.0
831f72fffffffff,25.0,0.0,2.0,0.0
831f83fffffffff,2.0,0.0,0.0,0.0
832013fffffffff,1.0,0.0,1.0,0.0
83204bfffffffff,5.0,0.0,0.0,0.0
83204dfffffffff,2.0,0.0,2.0,0.0
83206afffffffff,5.0,0.0,5.0,0.0
83206bfffffffff,1.0,0.0,1.0,0.0
832099fffffffff,1.0,0.0,1.0,0.0
83209bfffffffff,1.0,0.0,1.0,0.0
8320b1fffffffff,12.0,0.0,0.0,0.0
8320b3fffffffff,13.0,0.0,1.0,0.0
8320eefffffffff,1.0,0.0,1.0,0.0
832152fffffffff,2.0,0.0,2.0,0.0
832156fffffffff,3.0,0.0,3.0,0.0
832451fffffffff,1.0,0.0,0.0,0.0
832510fffffffff,2.0,0.0,0.0,0.0
832550fffffffff,1.0,0.0,0.0,0.0
832c00fffffffff,5.0,0.0,0.0,0.0
832c01fffffffff,4.0,0.0,0.0,0.0
832c03fffffffff,2.0,0.0,0.0,0.0
832c04fffffffff,47.0,0.0,0.0,0.0
832c06fffffffff,2.0,0.0,0.0,0.0
832c0bfffffffff,17.0,17.0,0.0,0.0
832c11fffffffff,2.0,0.0,0.0,0.0
832c15fffffffff,4.0,0.0,0.0,0.0
832c20fffffffff,1.0,0.0,0.0,0.0
832c2afffffffff,7.0,0.0,0.0,0.0
832c33fffffffff,5.0,0.0,0.0,0.0
832c36fffffffff,2.0,0.0,0.0,0.0
832c90fffffffff,4.0,1.0,1.0,0.0
832c93fffffffff,9.0,0.0,0.0,0.0
832ce4fffffffff,3.0,3.0,0.0,0.0
832d01fffffffff,2.0,2.0,0.0,0.0
832d03fffffffff,1.0,0.0,0.0,0.0
832d13fffffffff,2.0,0.0,0.0,0.0
832d18fffffffff,1.0,0.0,0.0,0.0
832d5cfffffffff,2.0,0.0,0.0,0.0
832da1fffffffff,15.0,1.0,0.0,0.0
832da5fffffffff,1.0,0.0,0.0,0.0
832db0fffffffff,16.0,2.0,1.0,0.0
832db1fffffffff,4.0,0.0,0.0,0.0
832db2fffffffff,4.0,2.0,2.0,0.0
832db6fffffffff,1.0,0.0,0.0,0.0
83395cfffffffff,1.0,1.0,0.0,0.0
83396cfffffffff,2.0,0.0,0.0,0.0
833c02fffffffff,4.0,0.0,0.0,4.0
833c06fffffffff,1.0,0.0,1.0,0.0
833c0afffffffff,12.0,0.0,0.0,0.0
