cell_id,Lathrotriccus euleri,Lathrotriccus euleri [flaviventris Group],Lathrotriccus euleri euleri/argentinus
825f5ffffffffff,4.0,3.0,0.0
82660ffffffffff,5.0,0.0,0.0
8266e7fffffffff,7.0,0.0,0.0
8266effffffffff,4.0,0.0,0.0
82674ffffffffff,7.0,0.0,0.0
826757fffffffff,2.0,0.0,0.0
82675ffffffffff,2.0,0.0,0.0
828037fffffffff,2.0,0.0,2.0
828137fffffffff,1.0,0.0,1.0
828b67fffffffff,5.0,0.0,0.0
828f47fffffffff,1.0,0.0,0.0
82a91ffffffffff,3.0,0.0,0.0
82a92ffffffffff,3.0,0.0,0.0
82a947fffffffff,1.0,0.0,0.0
82a94ffffffffff,2.0,0.0,0.0
82a957fffffffff,9.0,0.0,0.0
82a967fffffffff,60.0,0.0,0.0
82a96ffffffffff,44.0,0.0,0.0
82a977fffffffff,1.0,0.0,0.0
82b247fffffffff,9.0,0.0,0.0
82b24ffffffffff,2.0,0.0,0.0
82b26ffffffffff,17.0,0.0,0.0
82b277fffffffff,15.0,0.0,0.0
82b347fffffffff,14.0,1.0,0.0
82b34ffffffffff,4.0,0.0,0.0
82b35ffffffffff,12.0,0.0,2.0
82c2c7fffffffff,2.0,0.0,0.0
82c2cffffffffff,5.0,0.0,0.0
82c2dffffffffff,1.0,0.0,0.0
82c2e7fffffffff,2.0,0.0,0.0
