cell_id,Aegolius acadicus,Aegolius acadicus acadicus,Aegolius acadicus brooksi
840c42dffffffff,23.0,0.0,0.0
840c451ffffffff,1.0,0.0,0.0
840c455ffffffff,1.0,0.0,0.0
840c461ffffffff,2.0,0.0,0.0
840c465ffffffff,4.0,0.0,0.0
840c46dffffffff,4.0,0.0,0.0
840c51dffffffff,32.0,0.0,0.0
840c551ffffffff,1.0,0.0,0.0
840c555ffffffff,3.0,0.0,0.0
840c55bffffffff,4.0,0.0,0.0
840c55dffffffff,5.0,0.0,0.0
840c715ffffffff,6.0,0.0,0.0
840c731ffffffff,2.0,0.0,0.0
840c733ffffffff,80.0,0.0,0.0
840c73bffffffff,48.0,0.0,0.0
840e491ffffffff,2.0,0.0,0.0
840e497ffffffff,1.0,0.0,0.0
840e4d1ffffffff,3.0,0.0,0.0
840e4dbffffffff,2.0,0.0,0.0
840e5b1ffffffff,1.0,0.0,0.0
840e5b3ffffffff,7.0,0.0,0.0
840ec97ffffffff,1.0,0.0,0.0
840ec9bffffffff,16.0,0.0,0.0
840ed91ffffffff,3.0,0.0,0.0
84120a1ffffffff,4.0,0.0,0.0
84121abffffffff,2.0,0.0,0.0
84121e3ffffffff,1.0,0.0,0.0
8412433ffffffff,4.0,0.0,0.0
84124e7ffffffff,8.0,0.0,0.0
8412505ffffffff,2.0,0.0,0.0
8412511ffffffff,1.0,0.0,0.0
8412515ffffffff,16.0,0.0,0.0
841251dffffffff,31.0,0.0,0.0
8412521ffffffff,1.0,0.0,0.0
8412523ffffffff,4.0,0.0,0.0
8412525ffffffff,2.0,0.0,0.0
8412531ffffffff,1.0,0.0,0.0
8412567ffffffff,6.0,0.0,0.0
8412583ffffffff,1.0,0.0,0.0
8412591ffffffff,10.0,0.0,0.0
8412597ffffffff,5.0,0.0,0.0
84125b9ffffffff,3.0,0.0,0.0
84125d9ffffffff,3.0,0.0,0.0
84125dbffffffff,8.0,0.0,0.0
84125ebffffffff,3.0,0.0,0.0
84125edffffffff,2.0,0.0,0.0
84126a1ffffffff,2.0,0.0,0.0
8412723ffffffff,2.0,0.0,0.0
8412825ffffffff,2.0,0.0,0.0
841284bffffffff,2.0,0.0,0.0
841285bffffffff,1.0,0.0,0.0
8412893ffffffff,5.0,0.0,0.0
8412897ffffffff,2.0,0.0,0.0
841289bffffffff,2.0,0.0,0.0
84128bdffffffff,107.0,0.0,0.0
84128d3ffffffff,6.0,0.0,0.0
84128dbffffffff,3.0,0.0,0.0
84128e3ffffffff,2.0,0.0,0.0
8412907ffffffff,4.0,0.0,0.0
8412909ffffffff,2.0,0.0,0.0
841290dffffffff,1.0,0.0,0.0
8412939ffffffff,2.0,0.0,0.0
8412943ffffffff,5.0,0.0,0.0
8412945ffffffff,1.0,0.0,0.0
8412947ffffffff,7.0,0.0,0.0
841294bffffffff,2.0,0.0,0.0
84129abffffffff,1.0,0.0,0.0
84129b7ffffffff,1.0,0.0,0.0
8412a25ffffffff,2.0,0.0,0.0
8412a37ffffffff,1.0,0.0,0.0
8412a97ffffffff,2.0,0.0,0.0
8412aa5ffffffff,2.0,0.0,0.0
8412ab3ffffffff,32.0,0.0,0.0
8412ad7ffffffff,14.0,0.0,0.0
8412b01ffffffff,2.0,0.0,0.0
8412b15ffffffff,2.0,0.0,0.0
8412b43ffffffff,1.0,0.0,0.0
8412b4bffffffff,2.0,0.0,0.0
8412c01ffffffff,12.0,0.0,0.0
8412c03ffffffff,4.0,0.0,0.0
8412c07ffffffff,3.0,0.0,0.0
8412c11ffffffff,13.0,0.0,0.0
8412c13ffffffff,10.0,0.0,0.0
