cell_id,Progne subis,Progne subis subis/arboricola,Progne subis hesperia
831219fffffffff,2.0,0.0,0.0
831249fffffffff,2.0,0.0,0.0
83124afffffffff,5.0,0.0,0.0
83124bfffffffff,43.0,0.0,0.0
831250fffffffff,43.0,2.0,0.0
831251fffffffff,159.0,4.0,0.0
831252fffffffff,49.0,2.0,0.0
831253fffffffff,52.0,4.0,0.0
831256fffffffff,1.0,0.0,0.0
831258fffffffff,12.0,0.0,0.0
831259fffffffff,276.0,0.0,0.0
83125afffffffff,4.0,0.0,0.0
83125bfffffffff,10.0,0.0,0.0
83125cfffffffff,6.0,0.0,0.0
83125dfffffffff,13.0,0.0,0.0
83125efffffffff,4.0,0.0,0.0
831299fffffffff,2.0,0.0,0.0
83129bfffffffff,17.0,0.0,0.0
8312ccfffffffff,243.0,0.0,0.0
8312e1fffffffff,54.0,0.0,0.0
8312e4fffffffff,14.0,0.0,0.0
8312e8fffffffff,113.0,0.0,0.0
8312e9fffffffff,9.0,0.0,0.0
8312eafffffffff,36.0,0.0,0.0
8312ebfffffffff,14.0,0.0,0.0
8312ecfffffffff,785.0,26.0,0.0
8312edfffffffff,24.0,0.0,0.0
8312eefffffffff,66.0,0.0,0.0
831ab0fffffffff,2.0,0.0,0.0
832600fffffffff,55.0,0.0,0.0
832601fffffffff,59.0,0.0,0.0
832602fffffffff,19.0,0.0,0.0
832603fffffffff,77.0,6.0,0.0
832604fffffffff,48.0,0.0,0.0
832605fffffffff,169.0,0.0,0.0
832608fffffffff,106.0,3.0,0.0
832609fffffffff,72.0,0.0,0.0
83260afffffffff,556.0,0.0,0.0
83260bfffffffff,375.0,0.0,0.0
83260cfffffffff,26.0,0.0,0.0
83260dfffffffff,111.0,0.0,0.0
83260efffffffff,131.0,2.0,0.0
832610fffffffff,5.0,0.0,0.0
832611fffffffff,70.0,2.0,0.0
832613fffffffff,1.0,0.0,0.0
832615fffffffff,9.0,0.0,0.0
832618fffffffff,25.0,0.0,0.0
832619fffffffff,47.0,0.0,0.0
83261afffffffff,19.0,0.0,0.0
83261bfffffffff,48.0,0.0,0.0
83261cfffffffff,14.0,0.0,0.0
83261dfffffffff,66.0,0.0,0.0
83261efffffffff,12.0,0.0,0.0
832620fffffffff,774.0,0.0,0.0
832621fffffffff,476.0,0.0,0.0
