cell_id,Dicrurus caerulescens,Dicrurus caerulescens caerulescens,Dicrurus caerulescens leucopygialis/insularis
843c159ffffffff,12.0,12.0,0.0
843c199ffffffff,6.0,0.0,0.0
843c19bffffffff,1.0,0.0,0.0
843c36bffffffff,5.0,0.0,0.0
843c801ffffffff,4.0,0.0,0.0
843c80dffffffff,1.0,0.0,0.0
843c839ffffffff,1.0,0.0,0.0
843c8d9ffffffff,3.0,0.0,0.0
843c9ddffffffff,1.0,0.0,0.0
843cab1ffffffff,33.0,0.0,0.0
843cab7ffffffff,21.0,0.0,0.0
843cb5dffffffff,3.0,0.0,0.0
843cb65ffffffff,1.0,1.0,0.0
843d101ffffffff,9.0,0.0,0.0
843d105ffffffff,3.0,0.0,0.0
843d107ffffffff,2.0,0.0,0.0
843d845ffffffff,18.0,0.0,0.0
843d8c3ffffffff,9.0,0.0,0.0
843d8ddffffffff,2.0,0.0,0.0
843d907ffffffff,6.0,0.0,0.0
843d93dffffffff,4.0,2.0,0.0
843da11ffffffff,477.0,5.0,0.0
843da3dffffffff,4.0,0.0,0.0
843dad1ffffffff,2.0,0.0,0.0
843db13ffffffff,1.0,0.0,0.0
843db25ffffffff,4.0,0.0,0.0
843db67ffffffff,2.0,0.0,0.0
8442c01ffffffff,3.0,0.0,0.0
8442c05ffffffff,3.0,0.0,0.0
8442c07ffffffff,2.0,0.0,0.0
8442c13ffffffff,7.0,0.0,0.0
8442c21ffffffff,3.0,0.0,0.0
8442c29ffffffff,2.0,0.0,0.0
8442c31ffffffff,6.0,0.0,0.0
8442c39ffffffff,2.0,0.0,0.0
8442c67ffffffff,2.0,0.0,0.0
8442c69ffffffff,3.0,0.0,0.0
8442cabffffffff,2.0,0.0,0.0
8442cbdffffffff,9.0,0.0,0.0
8442cc5ffffffff,11.0,0.0,0.0
8442cc7ffffffff,2.0,0.0,0.0
8442cd1ffffffff,2.0,0.0,0.0
8442ce3ffffffff,5.0,0.0,0.0
8442ce9ffffffff,7.0,0.0,0.0
8442cebffffffff,16.0,0.0,0.0
8442d93ffffffff,8.0,0.0,0.0
8442d97ffffffff,11.0,0.0,0.0
8442d9bffffffff,5.0,0.0,0.0
8442dd1ffffffff,3.0,0.0,0.0
8442dd9ffffffff,2.0,0.0,0.0
8442eb1ffffffff,7.0,0.0,0.0
8442eb3ffffffff,3.0,3.0,0.0
8442eb7ffffffff,2.0,0.0,0.0
8460065ffffffff,2.0,0.0,0.0
8460069ffffffff,19.0,0.0,0.0
846006dffffffff,6.0,0.0,0.0
8460103ffffffff,9.0,0.0,0.0
8460139ffffffff,4.0,0.0,0.0
846013dffffffff,2.0,0.0,0.0
8460145ffffffff,34.0,0.0,0.0
8460149ffffffff,1.0,1.0,0.0
846014dffffffff,399.0,0.0,0.0
8460151ffffffff,119.0,2.0,0.0
8460159ffffffff,143.0,0.0,0.0
846015dffffffff,3.0,0.0,0.0
8460165ffffffff,3.0,0.0,0.0
8460169ffffffff,17.0,0.0,0.0
846022dffffffff,1.0,0.0,0.0
8460263ffffffff,1.0,0.0,0.0
8460307ffffffff,1.0,0.0,0.0
8460311ffffffff,82.0,1.0,0.0
8460313ffffffff,7.0,0.0,0.0
8460315ffffffff,269.0,0.0,0.0
8460317ffffffff,301.0,0.0,0.0
8460319ffffffff,4.0,0.0,0.0
846031bffffffff,2.0,0.0,0.0
846031dffffffff,559.0,12.0,0.0
8460321ffffffff,111.0,0.0,0.0
8460323ffffffff,200.0,0.0,0.0
8460327ffffffff,105.0,0.0,0.0
8460329ffffffff,14.0,0.0,0.0
846032dffffffff,185.0,0.0,0.0
8460331ffffffff,295.0,0.0,0.0
8460333ffffffff,692.0,2.0,0.0
8460335ffffffff,93.0,0.0,0.0
8460337ffffffff,25.0,0.0,0.0
8460339ffffffff,63.0,0.0,0.0
846033bffffffff,1990.0,0.0,0.0
846033dffffffff,49.0,0.0,0.0
8460343ffffffff,2.0,0.0,0.0
8460353ffffffff,3.0,0.0,0.0
8460367ffffffff,26.0,0.0,0.0
8460849ffffffff,4.0,0.0,0.0
846084dffffffff,12.0,0.0,0.0
8460885ffffffff,1.0,0.0,0.0
8460887ffffffff,2.0,0.0,0.0
84608c3ffffffff,3.0,0.0,0.0
8460927ffffffff,2.0,2.0,0.0
8460965ffffffff,3.0,3.0,0.0
84609a9ffffffff,1.0,0.0,0.0
8460a27ffffffff,22.0,0.0,0.0
8460a59ffffffff,2.0,0.0,0.0
8460a61ffffffff,48.0,0.0,0.0
8460a63ffffffff,3.0,0.0,0.0
8460a83ffffffff,9.0,0.0,0.0
8460a8bffffffff,82.0,0.0,0.0
8460a91ffffffff,10.0,0.0,0.0
8460a99ffffffff,23.0,0.0,0.0
8460a9dffffffff,15.0,0.0,0.0
8460ad3ffffffff,12.0,0.0,0.0
8460ad7ffffffff,43.0,0.0,0.0
8460b29ffffffff,7.0,0.0,0.0
8461891ffffffff,4.0,0.0,0.0
8461893ffffffff,11.0,0.0,0.0
8461899ffffffff,1.0,0.0,0.0
846189bffffffff,20.0,0.0,0.0
84618b1ffffffff,2.0,0.0,0.0
84618b3ffffffff,6.0,0.0,0.0
84618b9ffffffff,7.0,0.0,0.0
84618c5ffffffff,17.0,0.0,0.0
84618d1ffffffff,6.0,0.0,0.0
84618d7ffffffff,78.0,0.0,0.0
84618dbffffffff,10.0,0.0,0.0
