cell_id,Pyrocephalus rubinus,Pyrocephalus rubinus [mexicanus Group],Pyrocephalus rubinus saturatus,Pyrocephalus rubinus [obscurus Group],Pyrocephalus rubinus rubinus
83260afffffffff,8.0,2.0,0.0,0.0,0.0
832624fffffffff,5.0,0.0,0.0,0.0,0.0
832640fffffffff,1.0,0.0,0.0,0.0,0.0
832644fffffffff,2.0,0.0,0.0,0.0,0.0
832649fffffffff,1.0,0.0,0.0,0.0,0.0
83264afffffffff,1.0,0.0,0.0,0.0,0.0
83264efffffffff,1.0,0.0,0.0,0.0,0.0
832653fffffffff,3.0,0.0,0.0,0.0,0.0
832656fffffffff,17.0,0.0,0.0,0.0,0.0
832659fffffffff,18.0,0.0,0.0,0.0,0.0
83265bfffffffff,12.0,0.0,0.0,0.0,0.0
83265dfffffffff,34.0,0.0,0.0,0.0,0.0
832661fffffffff,6.0,0.0,0.0,0.0,0.0
832666fffffffff,1.0,0.0,0.0,0.0,0.0
832668fffffffff,18.0,0.0,0.0,0.0,0.0
83266afffffffff,1.0,0.0,0.0,0.0,0.0
83266efffffffff,1.0,0.0,0.0,0.0,0.0
832681fffffffff,83.0,0.0,0.0,0.0,0.0
832688fffffffff,45.0,0.0,0.0,0.0,0.0
832689fffffffff,47.0,0.0,0.0,0.0,0.0
83268bfffffffff,2.0,0.0,0.0,0.0,0.0
83268cfffffffff,120.0,0.0,0.0,0.0,0.0
83268dfffffffff,4.0,0.0,0.0,0.0,0.0
832690fffffffff,12.0,0.0,0.0,0.0,0.0
832696fffffffff,35.0,0.0,0.0,0.0,0.0
832698fffffffff,3.0,0.0,0.0,0.0,0.0
832699fffffffff,4.0,0.0,0.0,0.0,0.0
83269afffffffff,5.0,0.0,0.0,0.0,0.0
83269cfffffffff,1.0,0.0,0.0,0.0,0.0
83269efffffffff,2.0,0.0,0.0,0.0,0.0
8326aafffffffff,9.0,0.0,0.0,0.0,0.0
8326abfffffffff,1.0,0.0,0.0,0.0,0.0
8326c8fffffffff,6.0,0.0,0.0,0.0,0.0
8326cafffffffff,6.0,0.0,0.0,0.0,0.0
8326cbfffffffff,205.0,0.0,0.0,0.0,0.0
8326ccfffffffff,4.0,0.0,0.0,0.0,0.0
8326cefffffffff,2.0,0.0,0.0,0.0,0.0
8326d0fffffffff,1.0,0.0,0.0,0.0,0.0
8326d1fffffffff,17.0,0.0,0.0,0.0,0.0
8326d3fffffffff,10.0,0.0,0.0,0.0,0.0
8326d4fffffffff,48.0,0.0,0.0,0.0,0.0
8326d8fffffffff,3.0,0.0,0.0,0.0,0.0
8326d9fffffffff,9.0,0.0,0.0,0.0,0.0
8326dafffffffff,7.0,0.0,0.0,0.0,0.0
8326dcfffffffff,18.0,0.0,0.0,0.0,0.0
8326ddfffffffff,15.0,0.0,0.0,0.0,0.0
8326defffffffff,25.0,0.0,0.0,0.0,0.0
8326e6fffffffff,4.0,0.0,0.0,0.0,0.0
8326e8fffffffff,2.0,0.0,0.0,0.0,0.0
