cell_id,Passerculus sandwichensis,Passerculus sandwichensis [sandwichensis Group],Passerculus sandwichensis princeps,Passerculus sandwichensis [guttatus Group],Passerculus sandwichensis sanctorum,Passerculus sandwichensis rostratus/atratus
820c17fffffffff,28.0,4.0,0.0,0.0,0.0,0.0
820c1ffffffffff,21.0,0.0,0.0,0.0,0.0,0.0
820c47fffffffff,48.0,6.0,0.0,0.0,0.0,0.0
820c57fffffffff,16.0,1.0,0.0,0.0,0.0,0.0
820c5ffffffffff,45.0,0.0,0.0,0.0,0.0,0.0
820c67fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820c6ffffffffff,15.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
820ca7fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
820caffffffffff,4.0,2.0,0.0,0.0,0.0,0.0
820ccffffffffff,1.0,1.0,0.0,0.0,0.0,0.0
820cdffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
820ceffffffffff,31.0,0.0,0.0,0.0,0.0,0.0
820d07fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
820d0ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820d5ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0
820d67fffffffff,28.0,0.0,0.0,0.0,0.0,0.0
820d77fffffffff,7.0,3.0,0.0,0.0,0.0,0.0
820e87fffffffff,3.0,3.0,0.0,0.0,0.0,0.0
820ec7fffffffff,103.0,0.0,0.0,0.0,0.0,0.0
820ecffffffffff,128.0,0.0,0.0,0.0,0.0,0.0
820eeffffffffff,686.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82125ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,552.0,0.0,0.0,0.0,0.0,0.0
821297fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8212b7fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,52.0,4.0,0.0,0.0,0.0,0.0
8212d7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,18.0,3.0,0.0,0.0,0.0,0.0
