cell_id,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos affinis,Cymbirhynchus macrorhynchos [macrorhynchos Group]
836414fffffffff,1.0,0.0,0.0
836416fffffffff,318.0,0.0,85.0
836430fffffffff,3.0,0.0,0.0
836431fffffffff,39.0,0.0,15.0
836432fffffffff,13.0,0.0,11.0
836433fffffffff,3.0,0.0,2.0
836434fffffffff,3.0,0.0,0.0
836435fffffffff,77.0,0.0,25.0
836500fffffffff,290.0,0.0,6.0
836502fffffffff,79.0,0.0,5.0
836503fffffffff,16.0,0.0,0.0
836504fffffffff,1.0,0.0,0.0
836505fffffffff,162.0,0.0,0.0
836506fffffffff,1.0,0.0,1.0
836518fffffffff,33.0,0.0,6.0
836519fffffffff,1.0,0.0,0.0
83651bfffffffff,10.0,0.0,0.0
83651cfffffffff,129.0,0.0,45.0
83651dfffffffff,7.0,0.0,0.0
836520fffffffff,5.0,0.0,0.0
836522fffffffff,15.0,0.0,0.0
836526fffffffff,31.0,0.0,0.0
836531fffffffff,1.0,0.0,0.0
836581fffffffff,5.0,0.0,0.0
836589fffffffff,2.0,0.0,0.0
83658afffffffff,2.0,0.0,2.0
83658efffffffff,1.0,0.0,0.0
836591fffffffff,1.0,0.0,0.0
8365b0fffffffff,372.0,0.0,46.0
8365b2fffffffff,2.0,0.0,0.0
8365b3fffffffff,4.0,0.0,0.0
836802fffffffff,52.0,0.0,0.0
836810fffffffff,11.0,0.0,0.0
836811fffffffff,21.0,0.0,0.0
836812fffffffff,14.0,0.0,0.0
836815fffffffff,4.0,0.0,0.0
836818fffffffff,1007.0,0.0,99.0
83681cfffffffff,359.0,0.0,39.0
83681dfffffffff,22.0,0.0,2.0
83681efffffffff,9.0,0.0,0.0
83688afffffffff,4.0,0.0,0.0
836891fffffffff,3.0,0.0,0.0
836896fffffffff,19.0,0.0,0.0
8368a1fffffffff,2.0,0.0,0.0
8368abfffffffff,7.0,0.0,0.0
8368acfffffffff,8.0,0.0,0.0
8368b5fffffffff,5.0,0.0,0.0
83699afffffffff,2.0,0.0,0.0
838c96fffffffff,7.0,0.0,0.0
838cadfffffffff,39.0,0.0,0.0
838cd3fffffffff,1.0,0.0,0.0
838d9afffffffff,4.0,0.0,0.0
