cell_id,Puffinus assimilis,Puffinus assimilis assimilis,Puffinus assimilis haurakiensis,Puffinus assimilis kermadecensis,Puffinus assimilis tunneyi
83b914fffffffff,1.0,0.0,0.0,0.0,0.0
83ba69fffffffff,2.0,1.0,0.0,0.0,0.0
83baa9fffffffff,1.0,0.0,0.0,1.0,0.0
83bb0afffffffff,6.0,0.0,0.0,0.0,0.0
83bb0efffffffff,3.0,0.0,3.0,0.0,0.0
83bb29fffffffff,6.0,1.0,0.0,0.0,0.0
83bb4afffffffff,1.0,0.0,0.0,0.0,0.0
83bb50fffffffff,1.0,0.0,0.0,0.0,0.0
83bb52fffffffff,1.0,0.0,1.0,0.0,0.0
83bb53fffffffff,42.0,5.0,0.0,0.0,0.0
83bb56fffffffff,5.0,0.0,2.0,0.0,0.0
83bb58fffffffff,1.0,1.0,0.0,0.0,0.0
83bb5efffffffff,4.0,3.0,1.0,0.0,0.0
83bd20fffffffff,4.0,0.0,0.0,0.0,0.0
83bd23fffffffff,3.0,0.0,0.0,0.0,0.0
83bd24fffffffff,2.0,0.0,0.0,0.0,0.0
83bd54fffffffff,1.0,0.0,0.0,1.0,0.0
83bd62fffffffff,4.0,0.0,0.0,0.0,0.0
83be0cfffffffff,1.0,0.0,0.0,0.0,0.0
83be0efffffffff,4.0,0.0,0.0,0.0,0.0
83be29fffffffff,7.0,0.0,0.0,0.0,0.0
83be68fffffffff,2.0,0.0,0.0,0.0,0.0
83be8dfffffffff,5.0,0.0,0.0,0.0,0.0
83beabfffffffff,12.0,9.0,0.0,0.0,0.0
83bf42fffffffff,3.0,0.0,0.0,0.0,0.0
83bf43fffffffff,1.0,0.0,0.0,0.0,0.0
83bf44fffffffff,6.0,0.0,0.0,0.0,0.0
83bf4cfffffffff,43.0,11.0,0.0,0.0,0.0
83bf6efffffffff,1.0,0.0,0.0,0.0,0.0
83bfa6fffffffff,1.0,1.0,0.0,0.0,0.0
83c983fffffffff,11.0,0.0,0.0,0.0,0.0
83c984fffffffff,20.0,0.0,0.0,0.0,12.0
83c986fffffffff,3.0,0.0,0.0,0.0,1.0
83d68bfffffffff,2.0,0.0,0.0,0.0,0.0
83d6a9fffffffff,1.0,0.0,0.0,0.0,0.0
83d6d1fffffffff,3.0,0.0,0.0,0.0,0.0
83d6d8fffffffff,14.0,0.0,0.0,0.0,0.0
83d6dbfffffffff,1.0,0.0,0.0,0.0,0.0
83d6defffffffff,22.0,0.0,0.0,0.0,0.0
83da84fffffffff,1.0,0.0,0.0,0.0,0.0
83daa4fffffffff,1.0,0.0,0.0,0.0,0.0
83daa5fffffffff,1.0,0.0,0.0,0.0,0.0
83daaafffffffff,1.0,0.0,0.0,0.0,0.0
