cell_id,Contopus pertinax,Contopus pertinax pertinax,Contopus pertinax minor
8428341ffffffff,1.0,0.0,0.0
8429127ffffffff,5.0,0.0,0.0
84291a7ffffffff,2.0,0.0,0.0
842995bffffffff,3.0,0.0,0.0
8429a05ffffffff,6.0,0.0,0.0
8429a0bffffffff,26.0,0.0,0.0
8429a19ffffffff,50.0,0.0,0.0
8429a1dffffffff,60.0,0.0,0.0
8429a41ffffffff,201.0,2.0,0.0
8429a69ffffffff,1.0,0.0,0.0
8429ae3ffffffff,1.0,0.0,0.0
8429b03ffffffff,4.0,0.0,0.0
8429b2dffffffff,2.0,0.0,0.0
8429b55ffffffff,22.0,0.0,0.0
8429b67ffffffff,8.0,0.0,0.0
84446cbffffffff,335.0,0.0,0.0
8445201ffffffff,2.0,0.0,0.0
8445263ffffffff,1.0,0.0,0.0
8448321ffffffff,2.0,0.0,0.0
8448337ffffffff,6.0,2.0,0.0
8448365ffffffff,5.0,0.0,0.0
8448367ffffffff,2.0,0.0,0.0
84485b1ffffffff,3.0,0.0,0.0
84485bbffffffff,1.0,0.0,0.0
84488d3ffffffff,2.0,0.0,0.0
844891dffffffff,140.0,0.0,0.0
84489c1ffffffff,1.0,0.0,0.0
84489c7ffffffff,6.0,0.0,0.0
8448b15ffffffff,132.0,0.0,0.0
8448b39ffffffff,11.0,0.0,0.0
8448c03ffffffff,4.0,0.0,0.0
8448c0bffffffff,2.0,0.0,0.0
8448c13ffffffff,5.0,0.0,0.0
8448c1dffffffff,3.0,0.0,0.0
8448c31ffffffff,4.0,0.0,0.0
8448c35ffffffff,2.0,0.0,0.0
8448c59ffffffff,3.0,0.0,0.0
8448c5bffffffff,1.0,0.0,0.0
8448c6dffffffff,1.0,0.0,0.0
8448cc5ffffffff,1.0,0.0,0.0
8448cd1ffffffff,4.0,0.0,0.0
8448cd3ffffffff,27.0,0.0,0.0
8448cd9ffffffff,6.0,0.0,0.0
8448cdbffffffff,2.0,0.0,0.0
8448d89ffffffff,51.0,0.0,0.0
8448e37ffffffff,5.0,0.0,0.0
8448e85ffffffff,593.0,2.0,0.0
8448e8dffffffff,56.0,2.0,0.0
8448e97ffffffff,6.0,0.0,0.0
8448ea1ffffffff,2.0,0.0,0.0
8448eadffffffff,8.0,0.0,0.0
8448eb1ffffffff,4.0,0.0,0.0
8448eb3ffffffff,15.0,1.0,0.0
8448eb5ffffffff,3.0,0.0,0.0
8448eb7ffffffff,2.0,0.0,0.0
8448ec7ffffffff,56.0,0.0,0.0
8448ee1ffffffff,12.0,0.0,0.0
8448ee9ffffffff,71.0,0.0,0.0
8448eebffffffff,47.0,0.0,0.0
8448f21ffffffff,2.0,0.0,0.0
844983dffffffff,5.0,0.0,0.0
8449865ffffffff,1.0,1.0,0.0
8449887ffffffff,1.0,0.0,0.0
8449901ffffffff,4.0,0.0,0.0
8449941ffffffff,4.0,0.0,0.0
8449943ffffffff,2.0,2.0,0.0
8449945ffffffff,2.0,0.0,0.0
844994bffffffff,5.0,0.0,0.0
8449959ffffffff,10.0,10.0,0.0
8449961ffffffff,1.0,0.0,0.0
8449963ffffffff,17.0,1.0,0.0
84499c5ffffffff,2.0,2.0,0.0
8449a91ffffffff,2.0,0.0,0.0
8449b33ffffffff,4.0,4.0,0.0
8449b37ffffffff,3.0,3.0,0.0
8449b3bffffffff,14.0,0.0,0.0
8449b57ffffffff,1.0,0.0,0.0
846790bffffffff,13.0,0.0,0.0
846d227ffffffff,4.0,0.0,0.0
846d23bffffffff,2.0,0.0,0.0
846d283ffffffff,1.0,0.0,0.0
846d295ffffffff,1.0,0.0,0.0
846d2b9ffffffff,2.0,0.0,0.0
846d2d3ffffffff,1.0,0.0,0.0
846d32bffffffff,15.0,0.0,0.0
846d337ffffffff,2.0,2.0,0.0
846d645ffffffff,1.0,0.0,0.0
846d749ffffffff,1.0,0.0,0.0
