cell_id,Emberiza cabanisi,Emberiza cabanisi cabanisi,Emberiza cabanisi orientalis
8358a4fffffffff,2.0,0.0,0.0
8358b5fffffffff,2.0,0.0,0.0
8358c8fffffffff,1.0,0.0,0.0
8358cdfffffffff,2.0,0.0,0.0
8358d1fffffffff,2.0,0.0,0.0
8358dcfffffffff,3.0,1.0,0.0
8358defffffffff,3.0,0.0,0.0
8358f4fffffffff,1.0,0.0,0.0
836ac0fffffffff,6.0,2.0,0.0
836ac1fffffffff,3.0,0.0,0.0
836ae0fffffffff,1.0,0.0,0.0
836ae1fffffffff,2.0,2.0,0.0
836ae8fffffffff,4.0,0.0,0.0
836aeafffffffff,91.0,13.0,0.0
837520fffffffff,15.0,0.0,0.0
837521fffffffff,3.0,0.0,0.0
837531fffffffff,1.0,0.0,0.0
837a4bfffffffff,1.0,0.0,0.0
837b48fffffffff,60.0,0.0,16.0
837b4bfffffffff,21.0,0.0,7.0
8382a0fffffffff,6.0,0.0,0.0
8382a5fffffffff,2.0,0.0,0.0
838312fffffffff,10.0,0.0,2.0
838333fffffffff,1.0,0.0,0.0
839600fffffffff,12.0,0.0,1.0
839601fffffffff,9.0,0.0,0.0
839602fffffffff,6.0,0.0,3.0
839603fffffffff,2.0,0.0,1.0
839605fffffffff,5.0,0.0,0.0
839606fffffffff,1.0,0.0,0.0
839609fffffffff,7.0,0.0,2.0
83960bfffffffff,7.0,0.0,0.0
83960efffffffff,5.0,0.0,0.0
839614fffffffff,1.0,0.0,0.0
839615fffffffff,13.0,0.0,0.0
839620fffffffff,3.0,0.0,3.0
839623fffffffff,19.0,0.0,1.0
839624fffffffff,3.0,0.0,3.0
839626fffffffff,3.0,0.0,0.0
839628fffffffff,3.0,0.0,0.0
83962cfffffffff,36.0,0.0,10.0
83962efffffffff,2.0,0.0,2.0
839630fffffffff,1.0,0.0,0.0
839632fffffffff,1.0,0.0,0.0
839636fffffffff,30.0,0.0,3.0
839654fffffffff,1.0,0.0,0.0
839656fffffffff,4.0,0.0,3.0
839670fffffffff,2.0,0.0,0.0
839672fffffffff,2.0,0.0,0.0
839674fffffffff,1.0,0.0,0.0
839676fffffffff,1.0,0.0,1.0
839685fffffffff,1.0,0.0,0.0
8396a2fffffffff,2.0,0.0,0.0
8396a3fffffffff,9.0,0.0,0.0
8396a5fffffffff,2.0,0.0,0.0
8396aefffffffff,2.0,0.0,2.0
8396b0fffffffff,17.0,0.0,2.0
8396b2fffffffff,3.0,0.0,0.0
8396b5fffffffff,3.0,0.0,0.0
8396b6fffffffff,20.0,0.0,1.0
839702fffffffff,14.0,0.0,0.0
839703fffffffff,28.0,0.0,9.0
839711fffffffff,14.0,0.0,0.0
839715fffffffff,1.0,0.0,0.0
839719fffffffff,10.0,0.0,3.0
83971cfffffffff,22.0,0.0,2.0
83971dfffffffff,3.0,0.0,0.0
839731fffffffff,2.0,0.0,0.0
839789fffffffff,4.0,0.0,3.0
83978bfffffffff,3.0,0.0,3.0
83978dfffffffff,1.0,0.0,0.0
83978efffffffff,26.0,0.0,0.0
839799fffffffff,3.0,0.0,0.0
8397a8fffffffff,3.0,0.0,0.0
8397aafffffffff,3.0,0.0,0.0
8397abfffffffff,1.0,0.0,0.0
83ac9bfffffffff,1.0,0.0,0.0
