cell_id,Hydrobates castro,Hydrobates castro castro,Hydrobates castro [undescribed form],Hydrobates castro bangsi
842a181ffffffff,1.0,0.0,0.0,0.0
842a187ffffffff,1.0,0.0,0.0,0.0
842a18dffffffff,1.0,0.0,0.0,0.0
842a1c1ffffffff,2.0,0.0,0.0,0.0
842ac21ffffffff,2.0,0.0,0.0,0.0
842ac29ffffffff,2.0,0.0,0.0,0.0
842ac61ffffffff,171.0,0.0,34.0,0.0
842ac63ffffffff,2.0,0.0,0.0,0.0
842ac69ffffffff,1724.0,0.0,108.0,0.0
842ac6dffffffff,81.0,0.0,4.0,0.0
842af11ffffffff,18.0,0.0,0.0,0.0
842af13ffffffff,8.0,0.0,0.0,0.0
842af15ffffffff,1.0,0.0,0.0,0.0
842af19ffffffff,30.0,0.0,3.0,0.0
842af51ffffffff,2.0,0.0,0.0,0.0
842af57ffffffff,40.0,0.0,0.0,0.0
842f8cdffffffff,1.0,0.0,0.0,0.0
8434229ffffffff,1.0,0.0,0.0,0.0
8434261ffffffff,7.0,0.0,0.0,0.0
843434dffffffff,2.0,0.0,0.0,0.0
8434413ffffffff,1.0,0.0,0.0,0.0
84344c5ffffffff,1.0,0.0,0.0,0.0
8434587ffffffff,2.0,0.0,0.0,0.0
84345b7ffffffff,2.0,0.0,0.0,0.0
8434601ffffffff,1.0,0.0,0.0,0.0
843460dffffffff,34.0,19.0,0.0,0.0
8434641ffffffff,2.0,0.0,0.0,0.0
8434647ffffffff,4.0,1.0,0.0,0.0
8434663ffffffff,9.0,2.0,0.0,0.0
843466bffffffff,29.0,14.0,0.0,0.0
8434689ffffffff,2.0,0.0,0.0,0.0
8434697ffffffff,1.0,0.0,0.0,0.0
84346a7ffffffff,1.0,0.0,0.0,0.0
84346b3ffffffff,3.0,0.0,0.0,0.0
84346d7ffffffff,3.0,0.0,0.0,0.0
84346dbffffffff,56.0,0.0,0.0,0.0
84346e1ffffffff,5.0,0.0,0.0,0.0
84351a1ffffffff,2.0,0.0,2.0,0.0
84351a3ffffffff,20.0,0.0,7.0,0.0
8435a93ffffffff,4.0,0.0,0.0,0.0
8435ae3ffffffff,2.0,0.0,0.0,0.0
8439339ffffffff,3.0,0.0,0.0,0.0
843933bffffffff,10.0,0.0,0.0,0.0
8439945ffffffff,2.0,0.0,0.0,0.0
843994dffffffff,21.0,0.0,0.0,0.0
8444091ffffffff,3.0,0.0,0.0,0.0
8444093ffffffff,3.0,0.0,0.0,0.0
8444161ffffffff,1.0,0.0,0.0,0.0
8444723ffffffff,5.0,0.0,0.0,0.0
8444729ffffffff,6.0,0.0,0.0,0.0
844472bffffffff,9.0,0.0,0.0,0.0
8444a1dffffffff,36.0,0.0,0.0,0.0
8444a53ffffffff,1.0,0.0,0.0,0.0
8444a57ffffffff,13.0,0.0,0.0,0.0
84464e1ffffffff,25.0,0.0,0.0,0.0
84464e3ffffffff,1.0,0.0,0.0,0.0
84464e5ffffffff,39.0,0.0,0.0,0.0
84464e7ffffffff,19.0,0.0,0.0,0.0
84464ebffffffff,1.0,0.0,0.0,0.0
845128bffffffff,2.0,0.0,0.0,0.0
845594dffffffff,3.0,0.0,0.0,0.0
8455b27ffffffff,3.0,0.0,0.0,0.0
845ca87ffffffff,1.0,0.0,0.0,0.0
845cab9ffffffff,2.0,0.0,0.0,0.0
845d129ffffffff,5.0,0.0,0.0,0.0
845d12bffffffff,6.0,0.0,0.0,0.0
846691bffffffff,3.0,0.0,0.0,0.0
8466981ffffffff,10.0,0.0,0.0,0.0
846698dffffffff,5.0,0.0,0.0,0.0
8466993ffffffff,1.0,0.0,0.0,0.0
846699bffffffff,4.0,0.0,0.0,0.0
84669b3ffffffff,5.0,0.0,0.0,0.0
84669b9ffffffff,10.0,0.0,0.0,0.0
84669c3ffffffff,1.0,0.0,0.0,0.0
84669c9ffffffff,4.0,0.0,0.0,0.0
84669cbffffffff,3.0,0.0,0.0,0.0
84669d5ffffffff,6.0,0.0,0.0,0.0
84669d7ffffffff,3.0,0.0,0.0,0.0
84669ddffffffff,3.0,0.0,0.0,0.0
8466b65ffffffff,5.0,0.0,0.0,0.0
84679abffffffff,3.0,0.0,0.0,0.0
846c53bffffffff,1.0,0.0,0.0,0.0
846c583ffffffff,4.0,0.0,0.0,0.0
846c585ffffffff,1.0,0.0,0.0,0.0
846c587ffffffff,14.0,0.0,0.0,0.0
846c58bffffffff,33.0,0.0,0.0,13.0
846c593ffffffff,66.0,0.0,0.0,17.0
846c595ffffffff,60.0,0.0,0.0,13.0
846c597ffffffff,49.0,0.0,0.0,17.0
846c59dffffffff,12.0,0.0,0.0,12.0
846c5a1ffffffff,1.0,0.0,0.0,0.0
846c5a3ffffffff,10.0,0.0,0.0,0.0
846c5a9ffffffff,6.0,0.0,0.0,0.0
846c5abffffffff,98.0,0.0,0.0,10.0
846c5b1ffffffff,12.0,0.0,0.0,0.0
846c5b3ffffffff,41.0,0.0,0.0,29.0
846c5b5ffffffff,12.0,0.0,0.0,0.0
846c5b7ffffffff,1.0,0.0,0.0,0.0
846c5b9ffffffff,60.0,0.0,0.0,3.0
846c5bbffffffff,30.0,0.0,0.0,4.0
846c5bdffffffff,29.0,0.0,0.0,2.0
846c5d7ffffffff,142.0,0.0,0.0,66.0
846c5e3ffffffff,2.0,0.0,0.0,1.0
846d491ffffffff,8.0,0.0,0.0,0.0
846d499ffffffff,4.0,0.0,0.0,0.0
846d4d3ffffffff,2.0,0.0,0.0,0.0
846d4dbffffffff,4.0,0.0,0.0,0.0
846d6b3ffffffff,1.0,0.0,0.0,0.0
847cac5ffffffff,1.0,0.0,0.0,0.0
847cc3dffffffff,1.0,0.0,0.0,0.0
847cf35ffffffff,1.0,0.0,0.0,0.0
847d81dffffffff,2.0,0.0,0.0,0.0
848fa4dffffffff,6.0,0.0,0.0,0.0
848fa61ffffffff,8.0,0.0,0.0,6.0
848fa65ffffffff,6.0,0.0,0.0,0.0
848fa69ffffffff,74.0,0.0,0.0,26.0
848fa6bffffffff,70.0,0.0,0.0,12.0
848fa6dffffffff,6.0,0.0,0.0,0.0
848fb4bffffffff,5.0,0.0,0.0,2.0
8490d41ffffffff,2.0,0.0,0.0,0.0
849326bffffffff,2.0,0.0,0.0,0.0
84980a9ffffffff,5.0,0.0,0.0,0.0
84980e7ffffffff,1.0,0.0,0.0,0.0
84981d1ffffffff,1.0,0.0,0.0,0.0
8498315ffffffff,1.0,0.0,0.0,0.0
8499a41ffffffff,2.0,0.0,0.0,0.0
8499a49ffffffff,3.0,0.0,0.0,0.0
8499ad7ffffffff,1.0,0.0,0.0,0.0
