cell_id,Coracias caudatus,Coracias caudatus lorti,Coracias caudatus caudatus
825287fffffffff,2.0,0.0,0.0
8252dffffffffff,1.0,0.0,0.0
826a4ffffffffff,21.0,3.0,0.0
826a5ffffffffff,4.0,0.0,0.0
826a6ffffffffff,2.0,0.0,0.0
826ac7fffffffff,24.0,0.0,0.0
826acffffffffff,660.0,0.0,0.0
826adffffffffff,158.0,0.0,0.0
826aeffffffffff,11.0,0.0,2.0
827a47fffffffff,915.0,0.0,0.0
827a4ffffffffff,319.0,0.0,6.0
827a5ffffffffff,7.0,0.0,0.0
827a67fffffffff,1058.0,0.0,0.0
827a6ffffffffff,3154.0,0.0,28.0
827a77fffffffff,3.0,0.0,0.0
827ac7fffffffff,2.0,2.0,0.0
827acffffffffff,92.0,4.0,0.0
827adffffffffff,22.0,0.0,0.0
827aeffffffffff,244.0,22.0,0.0
827b4ffffffffff,76.0,0.0,0.0
827b5ffffffffff,150.0,0.0,0.0
827b6ffffffffff,85.0,0.0,0.0
8282a7fffffffff,2.0,0.0,0.0
828307fffffffff,2.0,0.0,0.0
828317fffffffff,1.0,0.0,0.0
82831ffffffffff,7.0,0.0,5.0
828337fffffffff,9.0,0.0,7.0
828387fffffffff,1.0,0.0,0.0
82838ffffffffff,1.0,0.0,0.0
8283affffffffff,4.0,0.0,2.0
829607fffffffff,21.0,0.0,3.0
82960ffffffffff,8.0,0.0,0.0
829617fffffffff,23.0,0.0,0.0
829627fffffffff,309.0,0.0,27.0
82962ffffffffff,164.0,0.0,38.0
829637fffffffff,206.0,0.0,21.0
829657fffffffff,6.0,0.0,0.0
829677fffffffff,18.0,0.0,2.0
829687fffffffff,6.0,0.0,0.0
82968ffffffffff,2.0,0.0,0.0
829697fffffffff,1735.0,0.0,26.0
82969ffffffffff,24.0,0.0,0.0
8296a7fffffffff,22.0,0.0,0.0
8296affffffffff,4.0,0.0,0.0
8296b7fffffffff,349.0,0.0,0.0
829707fffffffff,67.0,0.0,0.0
82970ffffffffff,54.0,0.0,2.0
829717fffffffff,294.0,0.0,0.0
82971ffffffffff,31.0,0.0,0.0
829727fffffffff,59.0,0.0,6.0
82972ffffffffff,1007.0,0.0,227.0
829737fffffffff,24.0,0.0,0.0
829747fffffffff,1105.0,0.0,22.0
82974ffffffffff,777.0,0.0,85.0
829757fffffffff,595.0,0.0,29.0
82975ffffffffff,951.0,0.0,30.0
829767fffffffff,2.0,0.0,0.0
82976ffffffffff,15.0,0.0,0.0
829777fffffffff,56.0,0.0,0.0
829787fffffffff,2.0,0.0,0.0
82978ffffffffff,23.0,0.0,0.0
829797fffffffff,4.0,0.0,0.0
82979ffffffffff,6.0,0.0,0.0
8297affffffffff,116.0,0.0,0.0
82ac17fffffffff,1.0,0.0,0.0
82ac87fffffffff,476.0,0.0,7.0
82ac8ffffffffff,18.0,0.0,0.0
82ac97fffffffff,106.0,0.0,2.0
82ac9ffffffffff,17.0,0.0,0.0
82aca7fffffffff,201.0,0.0,12.0
82acaffffffffff,10.0,0.0,0.0
82acb7fffffffff,39.0,0.0,1.0
82ad87fffffffff,53.0,0.0,6.0
82ad8ffffffffff,6.0,0.0,0.0
82ad97fffffffff,7.0,0.0,0.0
82ad9ffffffffff,10.0,0.0,0.0
82adb7fffffffff,21.0,0.0,1.0
82bc8ffffffffff,201.0,0.0,36.0
82bc9ffffffffff,48.0,0.0,2.0
82bcc7fffffffff,10.0,0.0,2.0
82bccffffffffff,30.0,0.0,8.0
82bcd7fffffffff,4012.0,0.0,649.0
82bcdffffffffff,753.0,0.0,150.0
82bceffffffffff,9.0,0.0,1.0
82bcf7fffffffff,453.0,0.0,76.0
