cell_id,Phoeniculus bollei,Phoeniculus bollei bollei/jacksoni,Phoeniculus bollei okuensis
836ac0fffffffff,2.0,0.0,0.0
836ac1fffffffff,27.0,0.0,0.0
836ac3fffffffff,2.0,0.0,0.0
836ac5fffffffff,5.0,0.0,0.0
836acdfffffffff,1.0,0.0,0.0
836adcfffffffff,511.0,0.0,0.0
836adefffffffff,104.0,0.0,0.0
836aedfffffffff,2.0,0.0,0.0
837501fffffffff,1.0,0.0,0.0
837508fffffffff,1.0,0.0,0.0
83750dfffffffff,79.0,6.0,0.0
837519fffffffff,1.0,0.0,0.0
837529fffffffff,1.0,0.0,0.0
83752afffffffff,17.0,0.0,0.0
83752bfffffffff,8.0,0.0,0.0
8375a8fffffffff,1.0,0.0,0.0
837a40fffffffff,4.0,0.0,0.0
837a45fffffffff,134.0,0.0,0.0
837a48fffffffff,15.0,0.0,0.0
837a4cfffffffff,118.0,0.0,0.0
837a4dfffffffff,38.0,0.0,0.0
837a68fffffffff,6.0,0.0,0.0
837a6afffffffff,7.0,0.0,0.0
837a6bfffffffff,7.0,0.0,0.0
837a6efffffffff,5.0,0.0,0.0
8396d2fffffffff,2.0,0.0,0.0
