cell_id,Sylvia abyssinica,Sylvia abyssinica monachus,Sylvia abyssinica claudei,Sylvia abyssinica stierlingi,Sylvia abyssinica abyssinica/stictigula
846adc1ffffffff,1.0,0.0,0.0,0.0,1.0
847a43bffffffff,2.0,0.0,0.0,0.0,0.0
847a451ffffffff,6.0,0.0,0.0,0.0,0.0
847a455ffffffff,5.0,0.0,0.0,0.0,5.0
847a457ffffffff,2.0,0.0,0.0,0.0,0.0
847a459ffffffff,6.0,0.0,0.0,0.0,0.0
847a45bffffffff,5.0,0.0,0.0,0.0,5.0
847a657ffffffff,42.0,0.0,0.0,0.0,0.0
8482d3dffffffff,1.0,0.0,0.0,0.0,0.0
8496903ffffffff,2.0,0.0,0.0,0.0,1.0
8496b2bffffffff,1.0,0.0,0.0,1.0,0.0
