cell_id,Aegithalos concinnus,Aegithalos concinnus [concinnus Group],Aegithalos concinnus iredalei/rubricapillus,Aegithalos concinnus annamensis
82209ffffffffff,1.0,0.0,0.0,0.0
82309ffffffffff,3.0,0.0,0.0,0.0
823c07fffffffff,4.0,0.0,4.0,0.0
823c1ffffffffff,22.0,0.0,0.0,0.0
823c57fffffffff,21.0,0.0,19.0,0.0
823c5ffffffffff,42.0,6.0,22.0,0.0
823cdffffffffff,2.0,0.0,0.0,0.0
823ce7fffffffff,10.0,0.0,1.0,0.0
823ceffffffffff,5.0,1.0,0.0,0.0
823d17fffffffff,85.0,3.0,3.0,0.0
823d37fffffffff,8.0,0.0,0.0,0.0
823daffffffffff,60.0,0.0,9.0,0.0
82404ffffffffff,6.0,6.0,0.0,0.0
824077fffffffff,7.0,7.0,0.0,0.0
82408ffffffffff,3.0,0.0,0.0,0.0
8240b7fffffffff,4.0,0.0,0.0,0.0
8240e7fffffffff,9.0,9.0,0.0,0.0
82411ffffffffff,5.0,0.0,0.0,0.0
824197fffffffff,7.0,0.0,0.0,0.0
8241a7fffffffff,8.0,0.0,0.0,0.0
8241b7fffffffff,7.0,0.0,0.0,0.0
824ba7fffffffff,51.0,6.0,0.0,0.0
826497fffffffff,3.0,0.0,0.0,0.0
8265b7fffffffff,7.0,0.0,0.0,0.0
