cell_id,Sporathraupis cyanocephala,Sporathraupis cyanocephala olivicyanea,Sporathraupis cyanocephala [cyanocephala Group],Sporathraupis cyanocephala subcinerea/buesingi
835f48fffffffff,9.0,0.0,0.0,0.0
835f4afffffffff,13.0,0.0,0.0,0.0
835f4bfffffffff,24.0,0.0,0.0,0.0
836601fffffffff,38.0,0.0,0.0,0.0
836608fffffffff,306.0,0.0,0.0,0.0
836609fffffffff,21.0,0.0,0.0,0.0
83660afffffffff,12.0,0.0,0.0,0.0
83660bfffffffff,412.0,0.0,0.0,0.0
83660cfffffffff,279.0,0.0,0.0,0.0
83660dfffffffff,72.0,0.0,0.0,0.0
836618fffffffff,599.0,0.0,0.0,0.0
836619fffffffff,929.0,0.0,0.0,0.0
83661bfffffffff,2577.0,0.0,0.0,0.0
83661dfffffffff,74.0,0.0,0.0,0.0
836620fffffffff,1727.0,0.0,0.0,0.0
836621fffffffff,1468.0,0.0,0.0,0.0
836622fffffffff,15.0,0.0,0.0,0.0
836623fffffffff,36.0,0.0,0.0,0.0
836629fffffffff,343.0,0.0,0.0,0.0
83662bfffffffff,27.0,0.0,0.0,0.0
83662dfffffffff,6.0,0.0,0.0,0.0
83662efffffffff,16.0,0.0,0.0,0.0
8366c0fffffffff,5.0,0.0,0.0,0.0
8366c2fffffffff,67.0,0.0,0.0,0.0
8366c4fffffffff,32.0,0.0,0.0,0.0
8366c6fffffffff,509.0,0.0,0.0,0.0
8366d0fffffffff,50.0,0.0,0.0,0.0
8366d1fffffffff,25.0,0.0,0.0,0.0
8366d3fffffffff,2462.0,0.0,0.0,0.0
8366d5fffffffff,84.0,0.0,0.0,0.0
8366dafffffffff,8.0,0.0,0.0,0.0
8366defffffffff,51.0,0.0,0.0,0.0
8366e0fffffffff,1486.0,0.0,0.0,0.0
8366e2fffffffff,55.0,0.0,0.0,0.0
8366e3fffffffff,5.0,0.0,0.0,0.0
8366e4fffffffff,818.0,0.0,0.0,0.0
8366e5fffffffff,302.0,0.0,0.0,0.0
8366e6fffffffff,4231.0,0.0,0.0,0.0
8366f1fffffffff,681.0,0.0,0.0,0.0
8366f3fffffffff,17.0,0.0,0.0,0.0
8366f5fffffffff,448.0,0.0,0.0,0.0
836741fffffffff,582.0,0.0,0.0,0.0
836743fffffffff,10.0,0.0,0.0,0.0
83674cfffffffff,33.0,0.0,0.0,0.0
83674efffffffff,645.0,0.0,0.0,0.0
83675afffffffff,69.0,0.0,0.0,0.0
83675efffffffff,2.0,0.0,0.0,0.0
838b20fffffffff,24.0,0.0,0.0,0.0
838b21fffffffff,52.0,0.0,0.0,0.0
838b2cfffffffff,191.0,0.0,0.0,0.0
838b2dfffffffff,19.0,0.0,0.0,0.0
838b60fffffffff,6.0,0.0,0.0,0.0
838b61fffffffff,1324.0,0.0,0.0,0.0
838b63fffffffff,1.0,0.0,0.0,0.0
838b6cfffffffff,759.0,0.0,0.0,0.0
838b75fffffffff,42.0,0.0,0.0,0.0
838e60fffffffff,4.0,0.0,0.0,0.0
838e61fffffffff,12.0,0.0,0.0,0.0
838e64fffffffff,320.0,0.0,0.0,0.0
838e65fffffffff,147.0,0.0,0.0,0.0
838e6cfffffffff,18.0,0.0,0.0,0.0
838e6dfffffffff,13.0,0.0,0.0,0.0
838f0dfffffffff,56.0,0.0,0.0,0.0
838f29fffffffff,18.0,0.0,0.0,0.0
838f2bfffffffff,64.0,0.0,0.0,0.0
838f2dfffffffff,9.0,0.0,0.0,0.0
838f42fffffffff,106.0,0.0,0.0,0.0
838f43fffffffff,5.0,0.0,0.0,0.0
838f46fffffffff,153.0,0.0,0.0,0.0
838f4afffffffff,93.0,0.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0,0.0
838f50fffffffff,13.0,0.0,0.0,0.0
838f51fffffffff,5.0,0.0,0.0,0.0
838f54fffffffff,92.0,0.0,0.0,0.0
838f55fffffffff,413.0,0.0,0.0,0.0
838f59fffffffff,83.0,0.0,0.0,0.0
838f5cfffffffff,20.0,0.0,0.0,0.0
838f5dfffffffff,13.0,0.0,0.0,0.0
838f72fffffffff,547.0,0.0,0.0,0.0
838f73fffffffff,403.0,0.0,0.0,0.0
838f74fffffffff,3.0,0.0,0.0,0.0
838f76fffffffff,28.0,0.0,0.0,0.0
83b321fffffffff,15.0,0.0,0.0,0.0
83b325fffffffff,88.0,0.0,0.0,0.0
